,parameter_code,poc,latitude,longitude,year,observation_count,observation_percent,valid_day_count,required_day_count,exceptional_data_count,null_data_count,primary_exceedance_count,secondary_exceedance_count,num_obs_below_mdl,arithmetic_mean,arithmetic_standard_dev,first_max_value,second_max_value,third_max_value,fourth_max_value,first_max_non_overlapping_value,second_max_non_overlapping_value,ninety_nine_percentile,ninety_eight_percentile,ninety_five_percentile,ninety_percentile,seventy_five_percentile,fifty_percentile,ten_percentile
second_max_value,0.009809197465863359,-0.017859470663246373,-0.0012570247762800054,-0.0002976872946515807,-0.0051762996545810114,0.028786499322491756,0.018930306465552296,0.033407042342794645,0.03182305126121342,0.0073464267258268314,0.029278487726311607,0.19217176439739692,0.00020151711288550247,,0.6882964957015117,0.8637698795456088,0.9788593454262892,1.0,0.9958087750566612,0.9921212086464055,0.9995222728313232,0.98145931202737,0.9176559274015993,0.9004647436443488,0.868216577863168,0.8211368048562502,0.7244495086652682,0.6137685084392817,0.4412309317069833
third_max_value,0.010107326896663006,-0.018294318107376414,-0.0004335641804085069,0.000627416092301192,-0.005032049941986123,0.02765235123354061,0.01966835889465,0.03196739655483899,0.02990344306131038,0.006775359176439057,0.027565353281098225,0.2145654653681645,-0.004190766483524529,,0.7017342124335673,0.8667307936153913,0.9708595156796997,0.9958087750566612,1.0,0.9980940124559344,0.9989480393569241,0.9826619019128902,0.9251430418383569,0.9085969957058899,0.8785993664568463,0.8331293249508549,0.7371820280342046,0.6277026611124709,0.45521852942904395
fourth_max_value,0.010169823704948004,-0.018777873325844605,8.881431564293954e-05,0.0011849582377590397,-0.004994550386061298,0.026848491877953264,0.020015029606558186,0.031005944607956817,0.028664678203680453,0.006395745443870128,0.02673606806870543,0.23146185502081443,-0.007731466271313432,,0.7112816576340673,0.8882500008431794,0.9654324490423603,0.9921212086464055,0.9980940124559344,1.0,0.9975943082282607,0.9856258876615657,0.9302334271846064,0.9146795344814131,0.8874310110732104,0.8453315138051731,0.7541383724698414,0.6370313701078701,0.46566550278496677
first_max_non_overlapping_value,,-0.06785764191177705,0.0953683148128796,-0.07804902962102304,-0.6717242539170619,-0.006286581491323879,-0.006721702625192033,0.0030576730325936174,0.017846388071543064,,,0.47777426284088115,0.47777426284088115,,0.747427773131226,0.9200829434762516,1.0,0.9995222728313232,0.9989480393569241,0.9975943082282607,1.0,0.9803836957601575,0.9292976015642009,0.910461312522984,0.8764417090614376,0.8403329900075563,0.7611300559882362,0.6576597472130868,0.4150440512696583
second_max_non_overlapping_value,,-0.07008733009749492,0.09676791712297629,-0.09550499256104801,-0.6794878095555871,-0.004292460470173956,-0.004734759599382211,0.005012508367167556,0.018382578436214016,,,0.4981037025241917,0.4981037025241917,,0.7756382291022593,0.9435537657350805,0.9803836957601575,0.98145931202737,0.9826619019128902,0.9856258876615657,0.9803836957601575,1.0,0.9554742413972784,0.9386347338392026,0.9064682225254217,0.8706467732961014,0.7900142580461564,0.683689691726082,0.43644218776380933
ninety_nine_percentile,0.012151257130845946,-0.0212212663130893,0.0028920686222431934,0.0013289782855086217,-0.011341249191344065,0.011591562320654667,0.025885093443706788,0.017051700893228966,0.013621485871649273,0.0012295957594491715,0.013532972169641735,0.18608701757775567,-0.018318889803683444,,0.8026677069039079,0.9141627193450607,0.9006984960132322,0.9176559274015993,0.9251430418383569,0.9302334271846064,0.9292976015642009,0.9554742413972784,1.0,0.9927334054383816,0.9650736514658507,0.9281026640653571,0.8425777951708111,0.7239426892074226,0.5554104192023953
ninety_eight_percentile,0.014969345503444227,-0.02354448386310968,0.003939999928117511,0.0027083273760123987,-0.010051355082844821,0.01056410535427916,0.02850133785420792,0.0155678221307107,0.011081701733897711,0.0006877287197665285,0.011891090999278256,0.19869136792143915,-0.028776324568523862,,0.8378328288709397,0.8988097432259144,0.880864246658227,0.9004647436443488,0.9085969957058899,0.9146795344814131,0.910461312522984,0.9386347338392026,0.9927334054383816,1.0,0.9806988518489569,0.9518330624029663,0.8766586616170162,0.7631322981561317,0.5995931951920753
ninety_five_percentile,0.01985550945320191,-0.02752204455898038,0.005349474382608093,0.004151804684074037,-0.008495946381624726,0.008536390927297828,0.03563397961168483,0.013180284630025041,0.006302787139173868,-1.856235744617278e-06,0.009128687980313768,0.19432776893433157,-0.04874001855661132,,0.9006724623374353,0.8497019114490051,0.8433965882588396,0.868216577863168,0.8785993664568463,0.8874310110732104,0.8764417090614376,0.9064682225254217,0.9650736514658507,0.9806988518489569,1.0,0.9890569207783302,0.9363908337128147,0.8371457723355873,0.6848317611045188
ninety_percentile,0.024448467030506245,-0.030822088011500923,0.006739032289923894,0.005510002745737926,-0.006396803914072716,0.006270302572132112,0.042180512851995415,0.01058955245774169,0.0015378824813662023,-0.0005133177542143743,0.006546634441517695,0.17602717875838836,-0.059007721022321914,,0.9443013680959531,0.7862238537350841,0.7973049615496571,0.8211368048562502,0.8331293249508549,0.8453315138051731,0.8403329900075563,0.8706467732961014,0.9281026640653571,0.9518330624029663,0.9890569207783302,1.0,0.9734876731649772,0.8934540167216231,0.7592252595071548
seventy_five_percentile,0.03126651309944137,-0.035278122323021334,0.008875523261042382,0.008141536292151027,-0.0023616529508145787,0.0005502567095902206,0.05195981583703863,0.003980185790770615,-0.008425133351134938,-0.001258210922226415,0.0016017811816278168,0.12436102789047523,-0.06827267698034044,,0.9853463773353655,0.6519028572769638,0.7011868367884071,0.7244495086652682,0.7371820280342046,0.7541383724698414,0.7611300559882362,0.7900142580461564,0.8425777951708111,0.8766586616170162,0.9363908337128147,0.9734876731649772,1.0,0.9586863269482033,0.8626710665911567
fifty_percentile,0.037105202539218264,-0.03835103843637907,0.009790433319790034,0.010900434011181993,0.0017979576178315212,-0.007544449665051603,0.060226823621894555,-0.005649592217399929,-0.021181009965999444,-0.0019734788575477584,-0.0036136009733111086,0.06041285115953483,-0.07163498564256397,,0.9884779461590981,0.45012885457730867,0.5817719828954511,0.6137685084392817,0.6277026611124709,0.6370313701078701,0.6576597472130868,0.683689691726082,0.7239426892074226,0.7631322981561317,0.8371457723355873,0.8934540167216231,0.9586863269482033,1.0,0.952624748330493
