local_site_name,count
Jerseydale,4563
"Mesa Verde National Park, Resource Management Area",4562
Rockville,4525
Pinehurst,4517
Compton,4493
Great Basin National Park,4490
Chiricahua National Monument,4473
Klamath Falls - Peterson School,4414
ZAMPIERI STATE OFFICE BUILDING,4399
Juel Spring,4382
PINNACLE STATE PARK,4352
Santa Clarita,4348
HORICON WILDLIFE AREA,4345
GT Craig NCore,4343
ISWS CLIMATE STATION,4323
William Owen School,4320
"Rangely, Golf Course",4314
Joshua Tree NP - Pinto Wells,4304
Basin,4299
Hagerstown,4279
City of Burlington Parking Lot,4272
420 E. LAUREL ST.,4266
Lewiston,4263
PRIMARY PARTICULATE AND METEOROLOGICAL MONITORING SITE,4262
Mendenhall School,4255
South Carroll,4252
"Yosemite National Park, Turtleback Dome",4238
Moxa Arch,4236
CANNONS LANE,4229
LA GRANDE ASH STREET,4217
Michigan City- W. Michigan Blvd./  NIPSCO Gas Station,4215
GLACIER NATIONAL PARK,4172
TULSA SOUTH,4170
TRONOX GRANGER SITE #7,4161
LAWTON NORTH,4153
Palm Springs,4150
LOCATED NEAR VISITORS CENTER,4141
Indpls.- I 70,4117
Mira Loma (Van Buren),4116
Lawrenceville,4112
OKC NORTH,4112
"Shenandoah National Park, Big Meadows",4108
Jerome Mack-NCore,4106
CHEEKA PEAK,4094
Petrified Forest NP - South Entrance,4091
Taft NCore,4078
Craters of the Moon NM & PRES - Visitor Center,4076
4102 Woolworth Ave. on Healthcenter Warehouse,4073
Bend Deschutes County Road Department (BRD),4070
TOP OF CADILLAC MTN (FENCED ENCLOSURE),4056
NCORE - Sieben Flats,4049
TULSA EAST,4023
Preble NCore,4020
OKC WEST-(YUKON),4019
Cheyenne NCore,4018
GR-MONROE,4014
Big Piney Site #3,4013
MANNFORD,4004
NORTH TULSA - FIRE STATION#24,3995
MOOSEHILL SCHOOL,3995
JARDINE WATER PLANT,3989
Meridian - St. Luke's,3983
CHILDREN'S PARK NCore,3964
CHOCTAW,3962
Joshua Tree NP - Cottonwood,3953
PARKLANE,3934
HOLTSVILLE,3933
Pocatello - Garrett and Gould,3932
Grand Teton NP - Science School,3916
Linville Falls,3914
Van Buren,3914
Glacier NP - West Glacier Horse Stables,3899
ECHOLS,3897
Coeur d'Alene - Lancaster Rd.,3895
Seney,3892
Prineville - Davidson Park,3888
MILLER STATE PARK,3866
South Broadway,3861
Madera-City,3860
Branch Street,3827
El Dorado Springs,3824
AURARIA - MET STATION,3814
HAZARD,3776
"Seney SENEY NAT'L WILDLIFE REFUGE, HCR2, BOX 1",3735
SCHOOLCRAFT COLLEGE,3730
Arnold West,3722
QUEENS COLLEGE 2,3713
CENTER OF PARKING LOT OF PUBLIC WORKS BUILDING 1/4 MI N OF SINCLAIR,3710
Atlantic Rim Sun Dog,3705
Horn Point,3701
"STATION 48-B, MONITORING SHELTER AND MET TOWER LOCATED IN FIELD AT",3688
Liberty,3680
CAMP LOGAN TRAILER,3672
Joshua Tree National Park - Black Rock,3668
Zion NP - Dalton's Wash,3664
SITE IS IN A FIELD WEST OF THE NIXON POWER PLANT,3649
White Cloud,3618
DYKEN POND,3613
Haystack Upwind,3610
WEST JORDAN,3605
Kearny Villa Rd.,3600
Charlestown CAAP,3588
Troost,3582
Natural Bridge Ranger Station,3575
Redwood NP,3554
Walker River Paiute Tribe Air Quality Site,3546
Richard Gebaur-South,3542
Death Valley NP - Park Village,3539
Kapolei,3534
"Sequoia and Kings Canyon National Park, Lower Kaweah",3521
MLK  CORNER OF MLK BLVD AND JUSTISON ST,3518
POINT REYES IMPROV SITE.,3516
"Rocky Mountain School, Carbondale",3507
Lindon,3497
Death Valley National Park,3494
Great Smoky Mountains NP - Clingman's Dome,3488
La Casa,3475
Yellowstone National Park - Old Faithful Snow Lodge,3473
Memphis NCORE site,3471
NORTHBROOK WATER PLANT,3460
Bakersfield-Muni,3414
Larwill- Whitko Career Academy,3407
SYDNEY,3397
FT MEADE LAT/LONG POINT IS OF THE SAMPLING INLET,3378
Ladue,3370
Forest Park,3361
inactive military resv 680 hudson rd sudbury ma 2 mi on left,3357
North Birmingham,3346
Hiawatha,3346
___________NO INFORMATION AT THIS TIME,3315
MCMILLAN  NCore-PAMS,3307
CAMDEN LAB,3303
BAD RIVER TRIBAL SCHOOL - ODANAH,3299
"PUEBLO OF JEMEZ TRIBAL TRUST LANDS, DEPARTMENT OF RESOURCE PROTEC-",3287
Antelope Mine Meteorological Station,3285
"CLINTON, CHANCY PARK",3263
Ciner Met Station,3259
LOCATED APPROXIMATELY 1 MILE NORTH OF I-5 AND I-80 FREEWAYS,3244
"Blue Ridge, I-70",3192
JAMESTOWN,3183
Moscow,3178
Long Beach (Hudson),3151
GRAFTON STATE PARK,3132
"10 METER TOWER, AT NW CORNER, U OF I RESEARCH CENTER",3127
"Mammoth Cave National Park, Houchin Meadow",3122
SITE LOCATED OFF PARKING LOT 2.,3117
Jackson NCORE,3101
Stn.1 Big Pine Paiute site,3097
VON HILLERN ST,3096
LAX Hastings,3092
FAIRHAVEN2,3080
"VOYAGEURS NATIONAL PARK, NEAR SULLIVAN BAY",3074
Sacramento-Goldenland Ct.,3065
Fortification Creek (WARMS site),3061
Columbia,3045
(Southwest side),3012
Candor: EPA CASTNet Site,3007
(Northeast corner),3003
Joanna Bald,2986
Temecula,2972
Newark Firehouse,2950
Tata Site 1,2950
MUSKOGEE WATER TREATMENT PLANT,2938
West Alton,2928
Battlement Mesa,2918
Howard County Near Road,2915
ANADARKO PM2.5,2905
Weitchpec E-BAM,2877
Greenfield 16 Barr Ave,2874
COLORADO SPRINGS - HIGHWAY 24,2865
Arkadelphia/Near Road,2851
MINE CREEK,2834
"Plummer, 2500 S. W- Citizens gas Plummer maintenance faciliy",2825
GOLF LINKS,2822
Reno3,2817
Fresno - Garland,2795
"Grand Canyon National Park, The Abyss",2790
Long Beach (South),2781
Parkway East Near-Road,2769
Mill Site,2764
Mojave NP & PRES - Kelso Mountains,2755
GOLDSBY,2737
Urban League BUILDING ROOFTOP,2734
NEWBURYPORT HARBOR ST PARKING LOT,2734
Kanza Travel Plaza,2713
Herriman #3,2709
CTCLUSI Radar Hill - OR,2696
Roosevelt,2682
Remount,2677
Vernal #4,2677
North East Waste (NEW),2669
Solvay Meteorological Station,2657
ALCOA P2,2635
OPEN FIELD NEAR RESIDENTIAL AREA AT 6000 PULPIT ROCK DRIVE.,2631
"CRUZ BAY, ST JOHN U.S. VIRGIN ISLANDS",2622
MEADOWLARK FARM,2608
Monastery,2607
Andersen Windows South,2585
Torresdale Station,2573
RPL- Substation,2557
AJ,2552
Hillcrest High School,2534
Converse County Long-Term,2534
Point Reyes NS Ranger Station,2522
Muscatine HS - East Campus School Trailer,2521
PECK,2507
West Yellowstone Park Ent #2,2481
Globeville,2469
Anaheim Near-Road,2465
"Rider Trail, I-70",2438
Klamath Glen E-BAM,2427
SD School for the Deaf,2425
San Andreas-Gold Strike Road,2416
MathScience Innovation Center,2413
THOMASTON WPCF,2408
Jackson-Clinton Road,2399
Colusa-Sunrise Blvd,2390
"BUFFALO, LW MINING",2389
COM ED TRAINING CENTER,2388
LEROY WOOD SCHOOL,2369
Sequoia NP-Lookout Point Ranger Station,2369
Baltimore County Near Road,2352
Paso Robles,2337
"Valley Site, Labadie",2332
"EMMETSBURG, IOWA LAKES COMMUNITY COLL.",2310
Erda,2306
Houston Bayland Park,2299
10 METER TOWER EAST OF HAYDEN ON RATHDRUM PRARIE.,2296
Yuba City,2283
Santa Maria,2269
CEDAR BLUFF,2267
QUEEN VALLEY,2265
"Yellowstone National Park, Water Tank",2257
Davis-UCD Campus,2216
Santa Barbara,2211
TRNP-NU,2206
GLEN BURNIE,2202
Eliza Downwind,2201
Salmon - Charles St.,2192
TOWER ON HILL NEAR CHIP N SAW MILL,2184
WICHITA HD,2177
Chico-East Avenue,2157
