local_site_name,count
A420692006LAT/LON POINT IS AT CORNER OF TRAILER,4405
RESIDENTIAL AREA,4366
TRAILER IN RV PARK (MAYCLIFF RV & STORAGE) (Site closed; new site: JM),4358
Toll,4349
GREENWOOD,4346
Zuni Hills,4341
SD School for the Deaf,4317
Black Butte Mine Pit 14,4308
PARKER FIRE STATION,4306
LUCITE HILLS SITE #852,4306
Brownsville,4294
Goleta,4288
Blair Street,4287
Black Thunder Site 12,4277
Mitchell Street,4252
COFFEYVILLE,4237
SEATTLE - DUWAMISH,4235
El Paso UTEP,4234
PINAL AIR PARK,4219
Burbank,4213
Apex,4209
Arroyo Grande CDF,4209
DOUGLAS RED CROSS,4198
BALLARD ROAD,4187
El Centro-9th Street,4184
Healdsburg-Matheson,4172
Cloverdale,4158
North Beach,4158
NORTHWEST VALLEY LOCATION,4157
Selma,4146
Guerneville-Church and 1st,4145
DUDLEY SQUARE ROXBURY,4133
LEXINGTON PRIMARY,4128
Laredo Vidaurri,4123
420 E. LAUREL ST.,4122
King City 2,4120
PROCTOR MAPLE RESEARCH CTR,4117
Spring Creek,4100
Moxa Arch,4094
A420910013LAT/LON POINT IS OF CORNER OF TRAILER,4084
Los Angeles-North Main Street,4065
Barstow,4063
BATES HOUSE,4061
CHANUTE,4057
Hesperia-Olive Street,4055
Kooker Park,4045
BROADUS,4040
4102 Woolworth Ave. on Healthcenter Warehouse,4019
STILWELL,4016
Rosselle,4002
"CLINTON, CHANCY PARK",4002
FORT COLLINS - CSU - Edison,3992
Glen Oaks,3985
WINTER PARK,3983
Paso Robles,3974
THOMPSON FALLS HIGH SCHOOL,3973
COWTOWN,3970
KENT - JAMES & CENTRAL,3951
Senior Center Air Monitoring Station,3932
MARICOPA,3924
Birney - Tongue river,3922
Brawley-220 Main Street,3910
South DeKalb,3898
Belle Ayr BA-4,3892
APACHE JUNCTION FIRE STATION,3887
 COLVILLE - OAK ST S,3879
TOWN OF CRESTED BUTTE,3872
San Jose - 4th St.,3872
3967 meters to the Naughton Power Plant,3866
VAFB South Base,3862
Clinton,3860
Eagle Butte EB-3,3849
School Creek SC-1,3836
School Creek SC-3,3820
GRAND JUNCTION - POWELL BLDG,3816
Yosemite NP-Yosemite Village Vistor Center,3813
Santa Rosa Rancheria,3810
Roseville-N Sunrise Ave,3810
MINGO_JCT.,3806
Westvaco 866,3796
Lee Vining,3786
PORTSMOUTH - PEIRCE ISLAND,3783
Campbell County,3780
Madera-City,3777
El Paso Chamizal,3769
FORMERLY 29-510-0084 HALL ST & CARRIE,3764
"MOMS, ADEM",3749
Klamath Falls - Peterson School,3748
GR-MONROE,3735
Breckenridge,3731
Lucerne Valley-Middle School,3724
School Creek SC-2,3719
Flathead Valley,3710
Oneota Street,3700
San Andreas-Gold Strike Road,3698
High School Air Monitoring Station,3696
MILWAUKEE - SER DNR HDQRS,3688
Calexico-Ethel Street,3674
ON THE ROOF OF THE ALLSTATE BUILDING,3647
Anoka County Airport,3637
Jerome Mack-NCore,3625
Cordero Rojo Site E-10,3614
Westmorland,3601
Miami Fire Station,3599
Manteca,3594
Greeley - Hospital,3577
ACHD ADMINISTRATION BUILDING,3571
Howard #3,3568
Santa Maria,3564
Fort Bragg-300 Dana Street,3552
South Lake Tahoe-Sandy Way,3541
JFK,3525
South Reno,3519
Red Rock Road,3513
Mojave,3504
BLACK HAWK ELEMENTARY SCHOOL GROUNDS,3498
Jersey City Firehouse,3496
SAROAD 06-0119-0001,3485
"OCI, LTD SITE #3",3481
Quincy-N Church Street,3461
QUAPAW SHELTER,3452
Chico-Manzanita Ave.,3451
MCMILLAN  NCore-PAMS,3450
Fort Independence Indian Community,3449
YAKIMA - 4TH AVE,3394
A420431100LAT/LON POINT IS AT CORNER OF TRAILER,3387
TEMPE,3382
TAHLEQUAH SHELTER,3373
Azusa,3373
Henderson,3370
North Shore Mining Industrial Site NM19; replaces NM10,3366
CHICKASAW,3363
Antelope Site 5,3345
Clovis-Villa,3343
DELTA HEALTH DEPT,3326
Lewistown,3323
Troost,3321
SPOKANE - AUGUSTA AVE,3317
Wyodak Site 5,3310
Cheyenne NCore,3303
Ft. Walton Beach,3302
CHASE (COVINGTON),3298
MARGARETTA CATEGORY B CORE SLAM PM2.5.,3298
Kihei,3297
Wyodak Site 6,3295
Haystack Downwind,3288
Malta,3283
OKC NORTH,3281
Black Thunder Mine Site 3,3277
Willows-Colusa Street,3275
RESEARCH OIL,3264
Tata Site 1,3264
Sacaton Air Monitoring Site,3263
Cheyenne SLAMS site,3242
Savannah-L&A,3237
St Johns Air Monitoring Site,3237
Mohawk Mt-Cornwall,3236
Haystack Upwind,3230
Oildale,3230
LAT/LON POINT IS CENTER OF TRAILER,3223
UTM COORDINATES = NORTH END OF BLDG. ROOF (METAL TAG MARKER),3221
Melbourne,3210
"EMMETSBURG, IOWA LAKES COMMUNITY COLL.",3208
A420110009LAT/LONG POINT IS OF SAMPLING INLET,3178
DHEC,3177
Mendenhall School,3161
Casper SLAMS site,3157
County Motorpool,3156
UTM COORDINATES = INLET PROBE ON ROOF OF BUILDING,3155
EASTERN BANK OF MONUMENT CREEK DRAINAGE ON COLORADO COLLEGE CAMPUS.,3155
OCI #4,3150
(Northeast corner),3150
West corner,3143
Fort McDowell/Yuma Frank,3140
William Owen School,3137
LAT/LON POINT IS TRAILER,3135
NORTHWEST,3132
MARK TWAIN MIDDLE SCHOOL,3122
Jacobs,3113
YUMA COURTHOUSE,3106
HANNOVER,3092
BUCKSKIN MINE NORTH SITE,3071
"850 ELM STREET, STATE OFFICES",3047
Mill Site,3039
"TOP OF BUILDING, 223 MAIN ST, KALISPELL",3012
Eagle Butte-Rawhide School Monitor,3008
19th & Burt,3004
DENVER MUNICIPAL ANIMAL SHELTER,2991
MILLHOPPER,2981
Indpls.- Drover St.,2979
Garinger High School,2977
Sandpoint,2974
Barr School,2965
Palmer,2959
East HS,2954
ALAMO LAKE,2949
Tata Site 4,2945
San Juan,2939
Augusta,2930
Portsmouth WTP,2930
Mesquite,2922
MUSCATINE HS - East Campus School Roof,2907
Canton,2902
Hillcrest High School,2900
FIRESTATION #1,2896
NORTH TULSA - FIRE STATION#24,2880
Youngstown Fire St5,2874
21ST & GREENUP,2871
Azalea Park,2871
CENTRAL FIRE STATION,2870
MathScience Innovation Center,2861
NARM NA-7,2848
"DAVENPORT, BH FOUNDRY",2847
Lander SLAM site,2846
BASIN ELECTRIC SITE COLLOCATED TSP AND PM10,2823
Livermore - Old 1st St.,2821
Sacramento-Goldenland Ct.,2821
Roosevelt School-Bridgeport,2816
Durham Armory,2808
MSLA Health Dept,2790
Fairgrounds Garage,2786
Wadsworth Air  and Meteorological Monitoring Site,2786
Indpls- West St.,2782
Black Thunder Mine JR5,2781
ROOFTOP OF MOUNT CRESTED BUTTE TOWN CENTER,2779
GLEN BURNIE,2779
Cody SLAMS site,2774
CORONA DE TUCSON,2766
East Chicago- Franklin School/ Washington School (Ben. Franklin),2717
Eagle Butte EB-5,2716
San Luis Obispo,2713
Sidney Oil Field,2701
Chico-East Avenue,2699
HUNTSVILLE OLD AIRPORT,2693
ELOY,2686
PARR,2685
Galletti,2683
Tata Site 3,2681
Mecca (Saul Martinez),2666
"3425 N FIRST ST, FRESNO",2664
Herriman #3,2653
Belle Ayr BA-3,2639
CENTRAL,2638
Lancaster-Ponderosa St.,2621
MLK  CORNER OF MLK BLVD AND JUSTISON ST,2619
HALL ST AND CARRIE WAS 1122 CLARK,2616
TANGERINE,2609
Huntley Place-Hartford,2600
Erie,2595
Reading Airport,2585
Y001,2583
"PUEBLO OF JEMEZ TRIBAL TRUST LANDS, DEPARTMENT OF RESOURCE PROTEC-",2582
Grass Valley-Litton Building,2581
Guayama,2580
Woodlawn,2578
Plumb-Kit,2577
PARKING LOT OF FIRE STATION NUMBER 10 AT 3730 MEADOWLAND BLVD.,2575
Truckee-Fire Station,2572
JACKSON PURCHASE (PADUCAH PRIMARY),2570
ORR,2568
McCann,2565
"Lakeview, CENTER & M ST.  (LCM)",2564
Clairton,2544
"AT UABC, CORNER OF CALZADA BENITO JUAREZ & AVENIDA NORMAL, MEXICALI",2540
STEVENSVILLE RANGER STATION/70 FT NORTH OF WEATHER STATION,2532
"WKRG, MOBILE",2529
Andersen Windows South,2524
Cleveland Fire St13,2504
Williston,2500
Battlement Mesa,2496
Converse County Long-Term,2495
LAIRD,2489
Rocklin,2486
Lowry Avenue,2484
Andersen Windows North,2476
NEAR HILLTOP WATERTOWER,2469
FAIRPORT HIGH SCHOOL,2465
JIM BRIDGER 851 SITE,2465
CARPENTER,2464
Black Hills Power Site 4,2460
Rock Springs SLAM site,2457
Lockeland,2455
Pendleton - McKay Creek,2431
Atascadero,2430
Research Farm,2427
Table Mountain Air Monitoring Site,2419
La Casa,2419
Moraine Fire St28,2412
1 Site (Met Station and Hi-Vols BA1 and BA1-B),2392
Fernandina Beach Waste Water treatment plant,2390
Laramie SLAM site,2387
Fresno-Drummond,2383
Bakersfield-Golden / M St,2374
TB - Tukey's Bridge,2370
White Springs,2369
LAKE SUGEMA STATE PARK II,2368
APALACHICOLA NATIONAL FOREST,2365
Coconut Creek,2365
Pocatello - Sewage Treatment,2360
Youngstown Fire St7,2357
Arnold West,2337
_OCALA NATIONAL FOREST FIRE CONTROL CENTER,2336
Santa Barbara,2332
NOAA,2321
Ohio Bell,2318
EISENHOWER HS,2307
Oakville,2303
North East Waste (NEW),2293
GRAND JUNCTION - PITKIN,2281
Allen Park,2280
ON THE ROOF OF THE TUDOR PROFESSIONAL BUILDING,2274
TERRE HAUTE CAAP/ McLean High School,2269
Colville-E 1St,2269
PIKEVILLE PRIMARY,2269
Eugene - Hwy 99 (E99),2253
Antelope Site 4,2252
Pacific Street,2250
Rule High School (relo),2249
Lehi Air Monitoring Station,2248
"MASON CITY, WASHINGTON SCH.",2245
"IN FLAMINGO WASH CORRIDOR - ""FLAMINGO SITE""",2241
State of Vermont District Court Parking Lot,2234
"COUNCIL BLUFFS, FRANKLIN SCH.",2231
South Pass,2230
TACOMA - ALEXANDER AVE,2228
Montclaire Elementary School,2227
Gas Service Center collocated PM 10s,2219
East Charleston Microscale Site,2216
South Fayette,2210
Pete Lien Upwind PM10 Monitoring Station,2208
CCRI Liston Campus ROOFTOP,2200
HIDDEN VALLEY,2197
Pete Lien Downwind PM10,2197
Lincoln Park Elementary,2194
QUABBIN RES,2193
BASKETT,2185
MSU,2182
NEWKIRK IMPROVE,2181
Chula Vista,2174
Oso Flaco Site,2162
TUFF SHED ON BOULDER HIGHWAY IN HENDERSON,2156
RBD,2156
TCCHD (OLD),2156
FD,2140
Texas City Fire Station,2136
Watson Lane,2136
FMC-Fairfield,2135
McAuliffe Park,2121
TRONOX GRANGER SITE #7,2101
Belle Ayr Ranch House Monitor,2096
Ascarate Park SE,2080
Broad Street,2077
LOCKLAND,2077
SITE IS TRAILER LOCATED ON NE CORNER OF 32ND AND CHATTEROI STREETS,2076
PARACHUTE - HIGH SCHOOL,2071
Black Thunder Site 15,2071
Cottonwood,2070
Fairgrounds,2065
Jackson SLAM site,2058
Taft-College,2049
ON TOP OF THE FIRE STATION #1 ROOF,2043
RELOCATED NA-6 SITE.  APPROXIMATELY 2 MILES OF SITE 865.,2042
Stuebenville,2023
Jackson NCORE,2013
Leeds,1996
Convention Center,1993
"MUSCATINE, MUSSER PARK",1993
VACANT LOT ACROSS FROM NAZARENE CHURCH IN A TRAILER,1986
A150090005UTM COOR=CENTER OF SITE,1980
TVA Fly ash spill site,1974
Las Vegas Paiute Air Quality Site,1970
"AT SOUTH END OF SCHOOLYARD, NORTH OF MOLYCORP TAILINGS PILES",1949
DELRAY BEACH,1941
San Rafael,1925
ON STATE SCHOOL #44,1924
Cortina Indian Rancheria,1916
Gary- Madison St./ Gary Water/ IN American Water Co.,1915
Indpls.- E. 16th St.,1912
CHEROKEE HEIGHTS,1912
Winchester Courts Building,1903
"Gladeville Elementary School, Galax",1894
Brilliant,1893
Spanish Springs,1889
#11 Fire Station,1885
PONCA TRIBE,1871
Southwestern H.S.,1868
Redding - Health Department,1856
West Sacramento-15th Street,1851
Houston Monroe,1849
Brookpark,1846
Perris,1845
CEDAR BLUFF,1843
LOGAN #4,1841
Westvaco #002,1840
Fontana,1838
Public Health,1835
Vacaville-Merchant Street,1833
WEST FAMILY THRIFT 3333 W. CHICAGO RAPID CITY SD 57702,1831
BOSTON CITY SQUARE,1831
COUNTRY KITCHEN BAKERY PARKING LOT,1830
Bridger Coal JB6,1828
Jasper PO,1820
MADISON - UNIVERSITY AVE WELL #6,1815
MAYVILLE,1812
MARICOPA 1405,1807
IEPA-RAPS TRAILER,1800
Napa,1798
U of F Ag Research Center,1787
Monroeville,1780
Fire Station #7,1780
SANTA CLARA,1780
PERSHING SCHOOL,1775
OAKLAND,1774
Fire Station #10,1772
CLOVIS POINT MINE SITE CP-1,1768
Union County #2 Renken,1767
SOLVAY SITE #2,1767
San Jose - Jackson,1764
SPECIAL PURPOSE MONITORING OF DURANGO TRAIN EMISSION IMPACT ON AREA,1763
DURANGO - RIVER CITY HALL,1752
SOLVAY SITE #1,1747
GADSDEN,1745
GATES RUBBER,1742
KENDUSKEAG PUMP STATION (BUILDING ROOF),1738
Virginia City Hall,1734
COURTHOUSE,1734
FMC SITE 869.  LOCATED 1000' SOUTH OF FORMER FMC 840 SITE.,1726
Western Conn State Univ,1719
VA HOSPITAL,1715
Warren WWTP,1713
Fire Station #8,1696
El Paso Mimosa,1694
Dry Fork Site DF-4,1692
Daniela Banu NCORE,1691
Crestline,1690
"DAVENPORT, ADAMS SCH.",1689
"SIOUX CITY, LOWELL SCH.",1688
CHESTERFIELD,1687
El Cajon,1682
JACOBS RANCH SITE 4,1677
San Francisco,1666
Turlock,1664
Concord,1661
Ivanhoe,1659
West Beach,1657
Anaheim (1010 Harbor Blvd),1655
KINDELBERGER,1642
Redlands,1631
LACEY - COLLEGE ST,1627
Fort Bragg-North Franklin Street,1621
BOULDER CHAMBER OF COMMERCE,1619
Hickory Water Tower,1617
North Highlands-Blackfoot,1616
Anderson - North Street,1615
BACKBONE STATE PARK,1615
VERITY,1612
Coal Creek Site 3,1606
Hugh Mercer Elementary School,1603
Pueblo - Fountain School,1602
IS 52,1600
CORDERO HV-3/PM-3,1597
Bethel Island,1597
Gillette SLAMS site,1593
Sidney 201,1589
Norco,1587
JIM BRIDGER SITE 901,1585
Houston Deer Park #2,1580
Houston Aldine,1578
State St-New Haven,1574
WILLOW CREEK GOLF COURSE,1566
Coal Creek Site 26,1565
HU-Beltsville,1561
Trevecca,1546
1H Substation,1546
LAT/LONG IS OF SAMPLING INLET,1543
VIKING LAKE STATE PARK,1542
PARKLANE,1540
Tri County Health Dept. Bldg.,1538
NE OF 5TH STREET & AVENUE K INTERSECTION,1535
Primrose Ave,1534
West Point Elementary School,1523
Belgrade Conagra,1515
BOSTON KENMORE SQ,1512
MONTOURSVILLE,1509
MCFARLAND HILL Air Pollutant Research Site,1506
Yreka,1501
Minneapolis Central Library,1501
John Chesnut Sr. Park - East Lake,1499
BCFD-TRUCK COMPANY 20,1496
Manchester,1495
GOODLAND,1492
Crownpoint,1491
Public Safety Building,1487
NEW PM10 SITE KNOWN AS BTM 31-1 ACTIVE 10-00,1486
Sacramento-Earhart Dr.,1481
Ridgecrest-Ward,1480
NORTHBROOK WATER PLANT,1472
CASTOR AND DELAWARE AVENUES (ITO),1464
Canebrake,1463
Dona Park,1460
FMC-GRANGER SITE #1,1459
City of Burlington Parking Lot,1455
FENCED-IN AREA BETWEEN I-94 OFF-RAMP AND RESIDENTIAL AREA,1453
Harvard Yards,1450
"INDIAN HILLS JR HIGH, CLIVE IA, FRM R&P SEQ. SAMPLER (1),ROOF",1447
Antelope Site 7,1441
COOLIDGE,1440
Wasilla,1431
Ak Chin Museum,1430
Riverside (Magnolia),1429
"MESSER DRIVE, RED BLUFF",1422
EAST END OF PEDRO MORENO SCHOOL IN ROSARITO,1421
SHEPHERDSVILLE,1409
Simis Ranch,1404
Gr-Wealthy,1399
Lake Ilo,1398
PRINCE ROAD,1396
420 KANSAS,1393
"MASON CITY, WATER PLANT",1391
San Pablo,1389
AJ,1388
Woodland-Gibson Road,1386
"Black Thunder Sites 25-3, 25-4, and 25-5",1385
RIFLE - HENRY BLDG,1384
Johnson County,1382
Lang,1373
Merced-M St,1366
"Warren Memorial Hospital, Front Royal",1363
SALTECH (FALLAW),1363
LAKE SUGEMA STATE PARK I,1361
Algonquin Parkway,1357
Eureka I Street,1356
DHHS,1356
WESTSIDE CORRALES,1355
SITE IS IN A FIELD WEST OF THE NIXON POWER PLANT,1353
AIR PRODUCTS,1353
Banning Airport,1344
Escondido,1343
Cherry Hill,1342
"Paonia, Colorado",1342
Sinclair,1338
Battle Mountain,1336
Houston Westhollow,1333
6ZJ EAST OF FLOOD DIVERSION DAM AND WEST OF NEW DEVELOPMENT,1320
Mira Loma (Bellegrave),1319
PECK,1318
COUNCIL BLUFFS ENERGY CENTER,1317
East Liverpool WTP,1313
AG Holley,1311
Doraville,1305
Donovan,1303
SYDNEY,1299
Macon-Alllied,1296
GRAYSON LAKE,1294
Essex,1294
Mission Viejo,1291
Yellow Springs,1291
FIRE STATION #3 ROOF OF BUILDING,1288
NARM NA-9,1288
SITE IS C.A. 1.5 MILES NORTH OF RAPID CITY'S LIMESTONE QUARRY AREA,1287
SITE LOCATED ABOUT 2000 FT. NORTH OF ELKEMS METALS EMISSION SOURCES.,1287
Austin Webberville Rd,1286
Air Management Services Laboratory (AMS LAB),1285
"Augusta, LINCOLN STREET ELEMENTARY SCHOOL (ALSS)",1278
SE OF EL CID & PARQUE INDUSTRIAL INTERSECTION,1277
PADUCAH MIDDLE SCHOOL,1274
Evansville- Buena Vista,1272
Ryder,1272
Corcoran-Van Dorsten Ave,1271
CHENEY - TURNBULL,1267
Laredo Bridge,1264
DRY FORK SITE DF-3N AND DF-3S,1262
13TH & ST PAUL,1262
Sheridan - Meadowlark SLAM site,1261
Ontario Fire Station,1259
Ogden Dunes- Water Treatment Plant,1253
OPEN FIELD NEAR RESIDENTIAL AREA AT 6000 PULPIT ROCK DRIVE.,1253
Cordero Rojo Site S-11,1252
Bottineau / Marshall Terrace,1249
Frank Wing Municipal Court,1248
"DAVENPORT, WORLD OF OZ",1247
WALLA WALL - 12TH ST,1245
Ellyson Industrial Park,1245
Cordero Rojo Site W-11,1245
WATER PLANT,1236
CARVER HS,1228
MARYSVILLE - 7TH AVE (Marysville Junior High),1228
Pueblo Publics Works,1225
Sandersville,1224
AT THE CENTER TOP OF THE BUILDING.,1224
Hammond- Clark HS/ Robertsdale Clark HS,1223
PCAB,1221
Stage Coach,1221
BROADWAY & SWAN,1221
AMAX EAGLE BUTTE SITE EB-5 SOUTHEAST OF MINING ACTIVITY,1220
Lihue,1220
