local_site_name,count
Compton,9404
NCORE,9356
CROSS STREETS CAL DEL TECNOLOGICO & CHAPULTEPEC,9279
Azalea Park,9264
Ogden,9175
Pinedale Gaseous,9149
Union County #1 Jensen,9138
A420990301LAT/LON POINT IS AT CORNER OF TRAILER,9097
Santa Barbara,9084
Spring Creek,9052
ASHLAND PRIMARY (FIVCO),9038
QUAPAW SHELTER,9016
Mammoth Cave NP - Houchin Meadow,8996
Fremont - Chapel Way,8996
NEWBURYPORT HARBOR ST PARKING LOT,8970
CHEEKA PEAK,8962
Corsicana Airport,8943
San Diego-12th Ave,8942
Evansville CAAP,8906
LOCATED ABOUT 1/4 MILE WEST OF SITE,8884
Mohawk Mt-Cornwall,8881
NOAA,8834
TRAILER ON CAMPUS OF INDUSTRIAL TECH HIGH SCHOOL,8807
"COBACH, CALLE GUADALAJARA JUST SOUTH OF AVENIDA REVOLUCION, MEXICALI",8733
22ND & CRAYCROFT,8712
Oildale,8700
Juel Spring,8688
Vinton,8664
"USGS Geomagnetic Center, Corbin",8652
Thousand Oaks,8573
HORICON WILDLIFE AREA,8550
SITE IS IN A FIELD WEST OF THE NIXON POWER PLANT,8513
"Rangely, Golf Course",8510
OPEN FIELD NEAR RESIDENTIAL AREA AT 6000 PULPIT ROCK DRIVE.,8449
Moxa Arch,8448
NLR AIRPORT,8419
Modesto-14th Street,8386
South Lake Tahoe-Sandy Way,8310
West Yellowstone Park Ent #2,8296
EASTERN BANK OF MONUMENT CREEK DRAINAGE ON COLORADO COLLEGE CAMPUS.,8295
Forest Park,8258
MILWAUKEE UWM-NORTH,8248
BOTANICAL GARDEN,8216
4102 Woolworth Ave. on Healthcenter Warehouse,8186
Bonne Terre,8158
Allen Park,8099
San Diego - Beardsley Street,8098
"AT THE INSTITUTO TECNOLOGICO DE MEXICALI, MEXICALI, BCN",8080
TRURO NATIONAL SEASHORE,8045
Mojave,8007
ROCHESTER 2,7987
Birney - Tongue river,7918
"Georgia Tech, Ford Environmental Science and Technology Bldg, roof",7916
Flag Plaza,7914
Evansville- Buena Vista,7906
Columbia,7904
EAST END OF PEDRO MORENO SCHOOL IN ROSARITO,7903
NASA Langley Research Center,7810
Big Piney Site #3,7722
Pittsburg - W 10th St.,7642
SOUTH OF CRAWFORD & POLK INTERSECTION,7638
LAKE SUGEMA STATE PARK II,7600
Memphis NCORE site,7505
Science Museum of Virginia,7478
PROCTOR MAPLE RESEARCH CTR,7438
Jerome Mack-NCore,7436
GALVESTON ISLAND,7401
A420430401LAT/LON POINT IS AT CORNER OF TRAILER,7386
Lenoir Co. Comm. Coll.,7378
Waco Mazanec,7316
CREDIT UNION,7314
East Health,7300
ELIZA-NR,7282
JD Smith,7200
Clinton Crops,7188
Anaheim (1010 Harbor Blvd),7093
Kearny Villa Rd.,7092
Chico-East Avenue,7072
Camden Spruce Street,7050
BROADUS,7020
LOCATED APPROXIMATELY 1 MILE NORTH OF I-5 AND I-80 FREEWAYS,6958
NORTHERN KENTUCKY UNIVERSITY (NKU),6945
PENN STATE OZONE MONITORING SITE,6848
BOSTON LONG ISLAND,6846
Bakersfield-Muni,6828
STATION LOCATED NEAR INTERSECTION OF 6000 SO & 10000 WEST,6803
San Antonio Northwest,6787
___________NO INFORMATION AT THIS TIME,6777
STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL,6766
La Casa,6764
Long Beach (Hudson),6748
"CORNER OF PASEO MORELOS S/N & CALLE RIO LERMA, TECATE, BC, MEXICO",6744
MANITOWOC - WDLND DUNES,6743
ISWS CLIMATE STATION,6740
SOUTH BEND CAAP,6722
Austin North Hills Drive,6684
LOGAN #4,6654
LAT/LON IS APPROXIMATE LOCATION OF SCIENCE CENTER,6637
Atlantic Rim Sun Dog,6634
FORMERLY 5962 SOUTH LINDBERGH.,6614
Malta,6581
Tracy-Holden farm,6574
Roosevelt,6566
CANNONS LANE,6550
Pechanga,6510
Huntington Wildlife Forest,6508
CAMDEN LAB,6501
I-25,6487
NORTH OF CAMPBELL & FRANKLIN INTERSECTION,6471
Lewistown,6454
Oceanside-Mission Ave,6400
7E Deming Airport,6378
UNIVERSITY OF CHICAGO,6346
USMC Reserve Center (Gandy),6332
Casper Gaseous,6326
"Blue Ridge, I-70",6324
San Ramon,6317
TAHLEQUAH SHELTER,6307
VON HILLERN ST,6301
Takoma Rec Center,6300
SW OF BONNARD & WOZENCRAFT INTERSECTION,6252
El Cajon - Lexington Elementary School,6242
UCSB West Campus,6208
Marcellus,6204
CONSENTINO SCHOOL.,6194
NCORE - Sieben Flats,6170
Smoky Row Near Road,6142
Towanda,6109
A420770004LAT/LONG POINT IS OF SAMPLING INLET,6088
COM ED TRAINING CENTER,6088
A420791101LAT/LON POINT IS AT CORNER OF TRAILER,6079
Rocky Mountain NP - Long's Peak,6047
Triple Oak,6036
I-610,5996
Sebastopol,5993
Pinedale,5993
Cincinnati Near Road,5990
A420910013LAT/LON POINT IS OF CORNER OF TRAILER,5943
Laney College,5925
Ojai - East Ojai Ave,5910
MARGARETTA CATEGORY B CORE SLAM PM2.5.,5891
Sacramento-Goldenland Ct.,5872
Socorro Hueco,5853
San Antonio Interstate 35,5836
TOP OF CADILLAC MTN (FENCED ENCLOSURE),5810
Y001,5803
Houston Southwest Freeway,5800
Lums Pond,5796
NEWKIRK IMPROVE,5789
MORRISANIA,5786
Anaheim Near-Road,5777
Austin North Interstate 35,5750
Howard County Near Road,5750
Torresdale Station,5734
Cranberry,5710
NR-GA Tech,5702
Jackson NCORE,5681
Elizabeth Lab,5637
NORWOOD NOX/COX,5619
Fort Lee Near Road,5612
Bellefonte River Road Park,5607
Battlement Mesa,5586
Seattle-10th & Weller,5574
SOUTH VALLEY,5574
Arkadelphia/Near Road,5558
Cleveland Near Road,5558
Dallas LBJ Freeway,5548
San Jose - Knox Avenue,5527
Parkway East Near-Road,5496
MTSP,5486
NORFOLK STATE UNIVERSITY,5474
Buffalo Near-Road,5474
Near Road Site at Southwest Tennessee Community College,5470
"Prairie State Generating Company, LLC",5469
Lancaster-Ponderosa St.,5435
Tualatin Bradbury Court (TBC) - Near Road Site,5421
Near Rd,5416
AJ,5396
Pepsi Place,5336
Herriman #3,5322
Donovan,5292
Skyline Park,5290
"Rider Trail, I-70",5272
COLLEGE POINT POST OFFICE,5230
SHEPHERDSVILLE,5220
