local_site_name,count
Flemington,6766
Barr School,6760
Ogden,6760
CONSENTINO SCHOOL.,6744
MORRISANIA,6740
Lexington water tower,6736
SYDNEY,6707
BLUE HILL OBSERVATORY,6691
Chico-East Avenue,6685
"MONITOR IS ON ROOF OF SMITH'S FOOD STORE, IN RESIDENTIAL SECTION.",6679
Cleveland,6663
Italy,6564
Rest,6559
Meridian - St. Luke's,6532
MathScience Innovation Center,6527
ELIZABETHTOWN,6504
McCall,6502
YAKIMA - 4TH AVE,6495
APALACHICOLA NATIONAL FOREST,6482
DEVILS LAKE PARK,6456
Socorro Hueco,6426
Rockwell,6402
SPOKANE - FERRY ST,6375
Fairgrounds,6347
TUPELO AIRPORT NEAR OLD NWS OFFICE,6328
JD Smith,6324
Garden Valley,6314
Lima,6311
PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,6286
PRIMARY PARTICULATE AND METEOROLOGICAL MONITORING SITE,6282
North Pole Fire Station #3,6276
Grier School,6238
WAUKESHA - CLEVELAND AVE,6200
PIKEVILLE PRIMARY,6192
Wichita Falls,6188
Lee District Park,6168
Elizabeth Lab,6159
Dona Park,6154
Tooele,6143
ROCHESTER 2,6140
Harding High School,6120
Grand Portage Band,6107
Jersey City Firehouse,6097
Anoka County Airport,6084
Jackson FS19,6080
LIBERTY SCHOOL,6035
Canton,6014
JLG SUPERSITE,5999
Lincoln Park School,5990
Belle Glade,5989
Ben Franklin School,5980
"WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM",5959
"Seney SENEY NAT'L WILDLIFE REFUGE, HCR2, BOX 1",5930
Winkler Pump Station,5915
LYNN WATER TREATMENT PLANT,5906
Preble NCore,5898
STATE OFFICE BUILDING,5896
GT Craig NCore,5882
El Paso Sun Metro,5876
NORTHERN KENTUCKY UNIVERSITY (NKU),5871
 SHELTON - MT VIEW DR,5811
Anaheim,5794
Channelview,5763
Hopedale,5760
Corpus Christi West,5755
 WENATCHEE - ALASKA WAY,5728
Kanza Travel Plaza,5717
Alabama Ave. Station,5670
Springfield Fire St1,5619
OAKVILLE - HOWANUT DR (CHEHALIS TRIBE),5598
Port Allen,5576
Gainesville,5556
Buffalo Near-Road,5533
Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,5524
Yellow Springs,5504
Park Place,5503
CARUS TRAILER/SPANGLER RD,5500
"MOMS, ADEM",5499
Brainerd Lakes Regional Airport,5461
St. Maries,5437
Jamesville School,5389
Sunrise Acres,5371
Blair Street,5324
FWS Wetland Management District,5299
CHESTERFIELD,5298
Capitol,5292
Nampa - Fire Station,5289
TRENTON,5266
Alpine,5256
MILWAUKEE - SER DNR HDQRS,5254
Rochester Near-Road,5250
Talahi School,5218
Livermore,5209
Durham Armory,5204
CITY HALL,5203
Eugene  Wilkes Drive,5193
Vallejo,5177
Port Huron,5167
Madras Westside School,5161
KALAMAZOO FAIRGROUNDS,5093
Mohawk Mt-Cornwall,5093
Paynes Prarie,5088
Ft. Wayne- Beacon St.,5084
CHICKASAW,5015
"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",5004
El Paso Chamizal,4908
ST LUKES,4905
Mitchell Street,4905
PARKLANE,4896
Twin Falls,4892
Troost,4887
West Yellowstone Park Ent #2,4866
"DAVENPORT, BH FOUNDRY",4853
Hattiesburg,4849
Camp Pendleton,4842
Castle Hayne,4828
PUYALLUP-66TH AVE E (PUYALLUP TRIBE),4778
Port Angeles - 5th St,4751
Donovan,4741
Williams Middle School,4732
NORTH VALLEY,4722
Calexico-Ethel Street,4678
Sandpoint,4671
Ladue,4658
Mammoth Cave NP - Houchin Meadow,4601
Evansville CAAP,4590
Millbrook School,4583
NORTH TULSA - FIRE STATION#24,4582
ED SPEAR PARK (SMITHS GROVE),4518
Mesa Verde NP - Resource Management Area,4491
Sunnyside-S16th St (Harrison Middle School),4491
LOCATED IN BACK YARD APPROX 50 FEET FROM HOUSE,4480
Dillard School,4471
Idaho Falls,4462
Millville,4453
Morse Airport - State of Vermont Property,4447
Crystal River Preserve,4441
4TH DISTRICT COURT,4434
ASHTON,4428
Isla Blanca State Park Road,4425
Colville-E 1St,4407
Meridian,4402
Cove City Hall (CCH),4393
Cherry Grove,4383
Libby Courthouse Annex,4360
PS 154,4357
IS 52,4341
State of Vermont District Court Parking Lot,4328
WASHINGTON HS,4321
ENUMCLAW - MUD MTN (Army Corp of Engineers site),4304
NASA Langley Research Center,4303
Ewing,4296
Taft NCore,4274
Air Management Services Laboratory (AMS LAB),4254
SOUTH VALLEY,4199
Yulee,4186
NIAGARA FALLS,4181
Ashland Fire and Rescue Station,4168
San Francisco,4156
Brigham City,4155
Southwest Minnesota Regional Airport,4153
PERKINSTOWN,4150
South Camden,4147
"JENISON ST ABOUT 70 FT WEST, 2 LANE RESIDENTIAL",4145
Lubbock-PM25,4142
New Albany,4134
Stuebenville,4121
"DECATUR, Alabama",4117
HORICON WILDLIFE AREA,4116
VON HILLERN ST,4110
"TOWNER ST, SOUTH; 2 LANE RESIDENIAL - HOSPITAL",4073
Ketchum,4069
Jean,4067
El Dorado Springs,4060
IS 293,4052
Napa,4041
Redwood City,4022
Apollo Beach,3999
"Ward, Sumter Co.",3965
