date_of_last_change,count
2014-02-21,2004
2019-07-12,2000
2022-05-24,1998
2014-02-04,1988
2022-02-16,1972
2014-01-16,1948
2016-01-25,1946
2022-05-20,1921
2022-03-08,1912
2022-04-13,1908
2016-08-25,1884
2020-05-20,1867
2023-05-03,1862
2022-05-19,1858
2023-04-25,1843
2018-01-18,1823
2017-01-12,1820
2022-01-05,1816
2020-03-16,1811
2020-01-10,1807
2018-02-12,1788
2014-02-09,1780
2023-04-26,1775
2022-05-09,1764
2022-04-28,1760
2017-02-07,1745
2015-02-04,1740
2015-01-08,1727
2015-11-24,1718
2015-01-16,1708
2016-02-09,1698
2021-07-29,1698
2018-06-15,1682
2022-05-04,1678
2016-03-17,1677
2022-04-01,1675
2022-05-23,1668
2017-03-28,1666
2022-04-04,1656
2015-04-13,1655
2015-02-19,1648
2023-04-17,1624
2014-01-22,1619
2015-07-10,1610
2016-08-17,1594
2019-11-01,1592
2016-04-26,1572
2022-01-10,1562
2018-05-07,1560
2015-05-21,1559
2021-06-22,1544
2021-12-28,1536
2015-01-23,1502
2020-04-09,1492
2020-08-27,1478
2020-01-28,1460
2014-01-07,1460
2014-05-13,1460
2015-05-28,1460
2020-04-20,1460
2021-02-03,1460
2022-02-02,1458
2016-01-19,1456
2017-01-10,1456
2019-04-09,1456
2015-02-12,1456
2019-01-16,1454
2015-02-11,1454
2018-01-22,1454
2020-03-20,1453
2020-02-14,1450
2018-05-24,1448
2018-04-13,1446
2021-01-20,1446
2021-03-11,1442
2016-06-16,1440
2021-04-15,1438
2013-09-10,1438
2020-04-13,1438
2015-01-09,1438
2019-01-10,1438
2018-03-09,1433
2017-11-01,1430
2020-06-09,1430
2019-12-20,1427
2015-04-02,1426
2019-05-17,1426
2019-01-29,1424
2014-01-03,1424
2017-03-03,1424
2019-02-27,1422
2021-02-09,1418
2014-03-03,1414
2015-04-20,1412
2016-02-22,1410
2015-06-11,1410
2018-03-07,1408
2018-03-12,1404
2020-04-22,1404
2022-04-07,1402
2016-05-03,1399
2018-03-21,1398
2022-02-23,1396
2019-02-20,1394
2022-01-11,1388
2019-09-11,1375
2016-04-12,1369
2021-05-07,1368
2019-12-03,1361
2016-04-07,1358
2016-10-03,1352
2022-02-03,1345
2021-01-13,1340
2017-01-09,1340
2016-03-16,1339
2015-07-13,1338
2016-01-11,1336
2022-01-27,1334
2017-04-11,1332
2020-09-22,1320
2020-07-01,1319
2022-05-16,1313
2016-03-04,1303
2018-04-17,1300
2019-02-06,1300
2020-02-03,1292
2016-08-30,1290
2023-04-12,1286
2022-05-11,1280
2021-01-27,1276
2016-03-19,1272
2016-03-30,1262
2023-04-27,1262
2020-01-08,1256
2019-04-22,1244
2020-04-15,1236
2015-05-27,1231
2021-02-18,1228
2018-02-18,1202
2019-03-20,1199
2017-04-12,1182
2015-04-22,1168
2020-06-12,1158
2016-02-16,1154
2018-01-02,1152
2022-02-08,1148
2022-05-26,1144
2019-11-06,1136
2017-02-01,1136
2014-05-01,1108
2020-09-02,1108
2021-10-19,1106
2018-02-23,1100
2022-04-29,1096
2019-04-08,1095
2014-02-06,1082
2022-01-26,1082
2022-05-18,1080
2021-02-23,1076
2023-04-04,1076
2015-07-08,1070
2023-04-06,1070
2021-02-08,1068
2017-01-13,1067
2014-07-22,1064
2014-04-24,1058
2017-03-16,1052
2021-04-12,1047
