address,count
5504 South Collins Street,14664
"CARTHAGE: 530 Juniper, Carthage, MO 64836",14568
SEQUOIA & KINGS CANYON NP,14550
"POAG ROAD, EDWARDSVILLE",14458
"SIERRA SKYPARK#2-BLYTHE & CHNNLT, FRESNO",14457
"8150 Hardscrabble Road,  WESTFIELD",14443
"PMC/3745 SW MARSHAL PL., PENDLETON",14438
"BLAIR STREET: 3247 Blair Street, St. Louis, MO 63107",14438
"46-990 JACKSON ST., INDIO",14365
DUNE ACRES SUBSTATION- NIPSCO Dunes Acres,14362
"LAKE GREGORY-LAKE DR, CRESTLINE",14349
SENEY NAT'L WILDLIFE HCR2 BOX 1 (SENEY),14323
700 West San Francisco Ave,14322
"803 N. LOREN AVE., AZUSA",14316
2700 Disney,14310
"14360 ARROW BLVD., FONTANA",14288
R.D. NIXON POWER PLANT_EXIT 125 OFF I-25,14223
1850 Hawkins Camp Rd,14220
"755 Stanislaus St., Maricopa CA 93352",14198
"1630 N MAIN ST, LOS ANGELES",14070
717 South Akard,14062
"621 W. LAMBERT, LA HABRA",14032
"18330 GAULT ST., RESEDA",14009
5707 Up River Rd,14000
5565 Kirkpatrick,13994
"1350 SAN BERNARDINO RD., UPLAND",13981
"VA HOSPITAL, WEST LOS ANGELES",13956
"506 W FLINT ST, LAKE ELSINORE",13924
"12100 CALLE REAL, LAS FLORES CANYON",13912
"WHITE PLAINS PUMP STATION,  240 ORCHARD STREET",13907
"840 LAUREL, GLENDORA",13899
"752 S. WILSON AVE., PASADENA",13887
"5555 OVERLAND AVE., SAN DIEGO",13867
RD. 29 1/2 NO. OF AVE 8 MADERA COUNTY,13840
"MOUNT RAINIER NP, TAHOMA WOODS ADMIN",13713
9901 INDIANA ST.,13663
605 Avenue L,13630
"900 AIRPORT RD., SANTA YNEZ",13588
"BONNE TERRE: 15797 Highway D, Bonne Terre, MO 63628",13582
"5888 MISSION BLVD., RUBIDOUX",13542
"INTERSECTION OF APPLE AND PINE, KAMIAH",13542
824 Sayle Street,13540
"7250 SLOUGHHOUSE ROAD, SLOUGHHOUSE",13530
"STP,  Wright Park Drive,  DUNKIRK",13513
109B  Brazoria Hwy 332 West,13434
700 E. CANON PERDIDO,13430
315 GENESEE (RIVER ROUGE),13392
645 1/4 PITKIN AVE.,13368
"LFC #4-LAS FLORES CANYON, CAPITAN",13354
"5210 N KIRBY  PORTLAND, OR 97217",13331
"24302 4TH ST., SAN BERNARDINO, CA.",13283
20420 Park Road,13244
220 N PENNSYLVANIA (LANSING),13224
"500 N. DEARBORN, REDLANDS, CA. 92373",13219
"PET FOR NAT PARK, NEAR OLD SW ENTERANCE ON OLD ROUTE 180",13198
"ZION NATIONAL PARK, UTAH",13096
"South Highway 59, RR1, 1795 Dahlonegah Park Road, Stilwell, Oklahoma",13060
"BELLEAYRE MOUNTAIN Cross Country Ski Area, Ulster and Delaware Tpk",13048
"735 SW WAGNER MEADOWS DR, GRANTS PASS, OR 97526",13018
"RICHARDS GEBAUR - SOUTH: 1802 E 203rd Street, Belton, MO 64012",12960
11500 N. Roxborough Park Rd.,12933
LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,12774
"MT.PLEASANT HS, 1121 FOREST RD.",12728
"237 1/2 N. 'D' ST., PERRIS",12723
"468 MANZANITA AVE, CHICO",12719
"EMMA WOOD STATE BEACH, VENTURA",12693
"WIND CAVE NATIONAL PARK, SOUTH DAKOTA",12651
"Wilmington, BASE WHITEFACE MTN, ASRC, SUNY",12633
6024 HIGHWAY 200,12610
"8315 HIGHWAY 8, KENMARE",12598
4364 Independence Parkway South,12588
"260 BEVER GRADE, LAPWAI",12584
HURLBURT & MACARTHUR,12562
"EISENHOWER PARK,  740 MERRICK AV at OLD COUNTRY Rd",12541
"229 SERVICE RD., WATFORD CITY",12532
4266 40TH AVE NORTH,12506
150 WATERMAN (DETROIT-SW),12502
7801 LAWNDALE,12470
"JOHNSON TALL TOWER: 600 Johnson Rd. Festus, MO 63028",12463
1575 HIGHWAY 31,12462
3355 Grandview Ave & 32nd St,12430
50 TU SU LANE,12383
Weminuche Wilderness Area - Shamrock Station,12291
"3425 N FIRST ST, FRESNO",12237
"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",12220
"200 S. HATHAWAY ST., BANNING CA",12122
1101 E-SHA LANE,12070
"924 N. GAREY AVE., POMONA",12022
1810 N 16TH STREET,11896
