address,count
PENN STATE UNIVERSITY - ARBORETUM SITE,13406
618 LOGAN ST.,13402
COPEWOOD E. DAVIS STS; TRAILER,13387
567 Eagle Lake Road,13370
1850 SOUTH CEDAR CREEK ROAD [Congaree Bluff],13341
2501 E. Memorial Rd.  (OKLAHOMA CHRISTIAN UNIVERSITY),13340
PA518 (NEW CASTLE ROAD) & PA418,13310
7801 LAWNDALE,13192
8327 MANN ROAD,13118
SUMMER ST,13116
"2200 East Lake Rd, Palm Harbor, FL 34865",13103
763 BLOODWORTH ROAD,13094
STATE HOSPITAL REAR 1600 HANOVER AVE,13079
91 WAKEFIELD STREET/ 110 THRUSTON STREET [Greenville Health Department],13061
616 A AVE.,13060
"STP, 779 TWO MILE CREEK ROAD",13041
"VDOT RESIDENCY SHOP, 3536 NORTH VALLEY PIKE, HARRISONBURG, VA",12993
"2 YARMOUTH ROAD, RG&E Substation",12992
"92-670 FARRINGTON HWY, EWA BEACH",12988
SCHULER AND BENDER,12957
"BRIGANTINE WILDLIFE REFUGE,NACOTE CREEK",12946
2516 1/2 Texas Avenue,12858
TATE STREET,12855
17TH AND SPRING GARDEN STREETS,12854
1ST STREET & 5TH AVENUE SE,12853
5795 SEVEN PINES ROAD [Barnwell],12818
NATIONAL GUARD BUILDING  2401 BOSTON PIK,12800
2840 BACK RD.,12787
24430 LACEY TRAIL,12782
3594 HARDEN STREET EXT. [DHEC],12777
TVA WIDOWS CRK 11 2.0 MI ESE WIDOWS CRK,12777
"FIRE TOWER RD, POTAWATOMI SITE",12751
GLADSTONE HIGH SCHOOL,12739
"PS 59, 228 E. 57TH STREET, MANHATTAN",12729
TVA COLBERT 14___3.98 MI SE COLBERT FP,12704
1JAMES STREET,12690
"MCCAYSVILLE ELEM.SCHOOL MCCAYSVILLE,GA.",12675
1740 GALLIA PIKE,12665
76 DORRANCE STREET.,12582
RANKIN RD. & JOULE ST.,12542
732 HAMPSHIRE,12493
2451 MARQUETTE,12466
750 DUNDEE ROAD,12440
29900 HOOVER (WARREN),12380
"1600 N.13TH ST ARTESIA, N.M. 88210",12375
5050A Yvette Drive,12375
BALLAST POINT PARK INTERBAY BLVD.,12361
BADLANDS PO BOX 6 HEADQUARTERS,12306
85 HIGH STREET,12260
7201 W. WESTCHESTER PARKWAY,12238
COPPER BASIN HOSP.,12231
"CHINO BLVD NR HURLEY PARK, HURLEY,NM",12190
PA. DEPT. OF TRANSPORTATION - RT.403 - Strongstown,12172
CUB RUN LEE RD CHANT.(CUBRUN TREAT PLANT,12118
24TH & RITNER STREETS,12108
SUNLAND PARK CITY YARD,12094
1810 N 16TH STREET,12064
11600 EAST SEVEN MILE RD (DETROIT-E7M),12044
FALLING RUN,12005
SE LAFAYETTE/5824 SE LAFAYETTE,12001
SHERWOOD ISLAND STATE PARK,11987
4530 N 17TH AVENUE,11966
UGI CO MONGANTOWN RD AND PROSPECT ST,11848
308 PORTLAND AVE.,11843
S.R. 83,11836
1369 DOCK STREET [Georgetown],11778
HOGAN MOUNTAIN,11704
7421 Park Place Blvd,11664
4522 Park Rd,11638
2600 ST. RT. 83,11603
CARNEGIE SCIENCE CENTER - 1 ALLEGHENY RD,11575
 2302 HOARD ST,11573
LUMS POND STATE PARK,11568
TVA JOF 13 2.03 N 36 E JOF PLANT,11548
321 S. FRANKLIN,11534
"BASKETT FIRE DEPARTMENT, 7492 DR. HODGE ROAD",11534
305 WEIDMAN ROAD (QUEENY),11498
SPRING BROOK DRIVE,11496
CHARLESTON - 209 MORRIS STREET,11475
"Piney Run, Frostburg Reservoir, Finzel",11448
BELLEVUE STATE PARK,11441
11500 N 71 HWY,11435
700 West San Francisco Ave,11401
2200 STEWARD ROAD,11377
EXTENSION TO WALL STREET IN GLASSPORT,11360
"ROUTE 86&30, PAUL SMITH'S COLLEGE",11346
WYODAK SITE 4,11318
8515 JENKINS RD   RIVIERA BEACH   MD,11301
"DRH, DUNKLIN H.S.",11242
"330A 12TH AVE., SAN DIEGO, CA. 92112",11226
"Mehle Ave., Arabi",11219
SR 154,11201
200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,11199
24 E. CHALMETTE CIRCLE,11194
"1099 WAIANUENUE AVE, HILO",11190
"Wyoming Refining, RODEO St., Newcastle, WY",11162
2300 N M. L. KING JR DR,11133
81-1043 KONAWAENA SCHOOL RD,11122
"8301 ACKERSON ROAD, Pinnacle State Park",11120
3400 PERSHALL ROAD,11100
GREAT SMOKY MOUNTAINS NP LOOK ROCK,11080
"YELP - JOHNSON LANE, 627 JOHNSON LANE, BILLINGS",11064
"380 N FAIRVIEW AVENUE, GOLETA",11057
WASHINGTON & CAMBRIA STS. FREEMANSBURG,11048
"Howard University's Beltsville Laboratory, 12003 Old Baltimore Pike",11046
"8 NORTHERN ROAD, PRESQUE ISLE, ME 04769",11035
WILSON AVENUE,11007
NORFOLK STATE UNIVERSITY,10959
VILLAGE GREEN-ROUTE#108,10942
"7800 W. 65TH ST, BEDFORD PARK",10900
ANDERSON AND PINECREST RD,10887
"YELP - PINE HILLS, 4250 PINE HILLS DRIVE",10878
"PLOT 25, ESTATE CLIFTON HILL",10863
"ORCHID PARKWAY, HAWAIIAN OCEAN VIEW ESTATES",10846
FRONTIER AVE AT 55TH STREET,10830
"1167 N Dover Road, Valrico, FL 33527",10826
"158-W, SCIENCE MUSEUM OF VA, DMV & LEIGH STREETS",10816
11397 HELEN RICHARDS DR,10799
TVA GALLATIN 1___1.8 MI N OF GALLATIN FP,10786
"KYTC MAINTENANCE GARAGE,  260 WILSON DRIVE",10769
UNION & E. NORTH /NE CORNER INTERSECTION,10768
COUNTY RD 42,10756
COUNTY RD 1103 .7 MI SOUTH OF K-52,10755
717 SOUTH AVENUE,10726
20TH AND RACE STREETS,10711
"WVU LAW SCHOOL, MORGANTOWN",10701
TVA JOHN SEVIER 4 1.0 MI SW JOHN SEV. FP,10684
TVA BULL RUN 26__0.5 MI NE BULL RUN FP,10675
"11000 UNIVERSITY PARKWAY, UNIV OF W. FLA",10657
PLOT 487 ESTATE BARREN SPOT,10639
192 BROOKSIDE TERRACE WEST,10631
PLOT 214 ESTATE RUBY,10607
GLOVER SOUTH TINDELL,10568
MOHAWK MOUNTAIN ROAD (see coordinates),10557
"9 LE SAGE DR., GROVER CITY",10554
524A JOHN'S HILL ROAD,10496
WHALEY PK 3610 IOWA (FLINT),10493
FORT BUCHANAN FM 33 GUAYNABO,10472
3520 1/2 N. PEORIA,10450
500 11TH ST NW,10449
9399 Lima St,10434
COUNTY ROAD 414,10394
104 GILCREASE RD,10367
"TRAILER,WEST END OF FARMINGTON ROAD",10364
"5234 W. 120TH ST., HAWTHORNE",10354
"Edwin B. Forsythe National Wildlife Refuge Visitor Center, 800 Great Creek Road",10337
"FIRE HQ.BUILDING,ANDREWS & CHESTNUT STS.",10335
WATER STREET,10320
"451 WEST THIRD ST.,",10309
"STILESBORO, HWY. 113",10305
515 25TH. ST.,10281
4472 Mazanec Rd,10220
WHITE SHIELD,10178
715 STATE STREET,10160
"181-A1, NOAA LOT, 2ND ST & WOODIS AVE.",10130
OLYMPIC NATIONAL PARK,10108
2701 13TH AVE NORTH AT LOGAN,10099
501 COMMERICAL,10094
Court and Farrish Streets,10089
"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137",10076
"14035 Blaine Ae. E., Rosemount, MN",9984
NORTHERN PANHANDLE REGIONAL OFFICE,9982
LONGHILL STREET SUBSTATION,9925
"MAIN STREET: 1 Parkwood, Herculaneum, MO 63048",9924
"PEMBROKE HILL, BRICKETT HILL ROAD",9914
TVA KINGSTON #8,9907
2857 N MILLER RD-S SCOTTSDALE STN,9889
"CENTRAL STREET FIRE STATION, CENTRAL ST.",9845
"DOUGLAS & 1ST, SAN MANUEL",9831
1710 VAUGHN RD,9796
177 MAIN STREET,9794
100 N TUSCARAWAS,9794
CLEVELAND HEALTH MUSEUM 8911 EUCLID,9771
65W 300S BOUNTIFUL UTAH,9763
"7048 McNutt, La Union, NM",9742
NEBRASKA AVE. AND ADAMS,9676
5296 Southwest Rd.,9659
133 Perry Avenue [Greenville ESC],9603
"AMTRAK, 5917 ELMWOOD AVENUE",9597
2001 E 8th St,9560
158B JACKSON ST,9541
1100 21st Street,9517
345 E. FIFTH AVE. WARREN HIGH SCHOOL,9502
CENTENNIAL DRIVE KENOVA WVA,9496
LITTLE AVE.,9486
"SANDERS ASSOCIATES, PARKING LOT D",9464
409 MAIN ST.,9457
2650 BIBLE ROAD,9436
"356 State Street, Portland,  Maine",9428
MAMMOTH CAVE NP - ALFRED COOK ROAD,9383
12700 SACRAMENTO,9366
