parameter_name,count
2-Methyl-1-butene,940
1-Nonene,926
1-Undecene,920
Calcium (TSP) STP,903
Potassium (TSP) STP,900
Vertical Wind Speed,893
Sulfur (TSP) STP,887
Coronene (TSP) STP,880
Std Dev Vt Wind Speed,873
Antimony PM10 LC,869
Isobutene,856
Std Dev Hz Wind Speed,853
n-Tridecane,852
1-Octene,850
Propyne,850
1-Heptene,842
Naphthalene,832
2-Ethyl-1-butene,826
Dodecene,826
1-Decene,825
3-Hexanone,806
Sulfation rate,790
3-Chloropropene,790
Retene (TSP) STP,769
p-Xylene,747
Zinc PM10 STP,743
Black Carbon PM2.5 at 880 nm,739
2-2-3-Trimethylpentane,736
Tridecene,732
9-fluorenone (TSP) STP,729
PM2.5 STP,716
Soil index (COH),699
Cyclopenta[cd]pyrene (TSP) STP,699
o-Tolualdehyde,695
Virtual Temperature,678
m-Xylene,665
Zinc (TSP) LC,659
Ethylene oxide,658
Silicon (TSP) STP,645
Chloride (TSP) STP,636
Copper PM10 STP,627
Rubidium (TSP) STP,626
Phosphorus (TSP) STP,601
Mercury PM10 LC,590
Iron PM10 STP,588
Mercury PM10 STP,580
Isobutene & 1-butene,578
Non-volatile Nitrate PM2.5 LC,569
Ammonia,534
Isobutyraldehyde,529
Lead (TSP) LC Non-FRM/FEM,524
2-Methyl-3-hexanone,521
Butyl acetate,521
n-Propyl acetate,521
Barium PM10 STP,508
Silver (TSP) STP,495
Benzo(a)Pyrene PM10 STP,487
Benzo(b)Fluranthene PM10 STP,468
Benzo(k)Fluoranthene PM10 STP,468
Iron (TSP) LC,456
Molybdenum PM10 STP ,453
"Benzo(g,h,i)Perylene PM10 STP",442
Dibenz(A-H)Anthracene PM10 STP,442
Lead PM10 LC FRM/FEM,442
"Indeno[1,2,3-cd] pyrene PM10 STP",442
Yttrium (TSP) STP,431
Bromine (TSP) STP,425
Thallium (TSP) STP,423
Total reduced sulfur,422
m & p-Tolualdehyde,400
p-Tolualdehyde,397
"1,1-Difluoroethane",386
"1,1,1,2,2-Pentafluoroethane",386
Halocarbon 134a,386
Vanadium PM10 STP,384
Std Dev Vt Wind Direction,383
"1,3-Dichloropropene(total)",377
Carbon Tetrafluoride,375
Chlorine (TSP),370
Calcium PM10 STP,369
Uranium (TSP) STP,368
Sea Salt (PM2.5),348
Dibromomethane,348
PH (precip),348
Conductivity (precip),347
3-Pentanone,337
Heptanal,323
Dichlorotetrafluoroethane,323
UV Carbon PM2.5 STP,307
Methyl Iodide,302
"Benzene,(1-methylethenyl)-",300
UV Carbon PM2.5 at 370 nm,290
Fluoride (TSP) STP,289
2-Pentanone,287
Methyl Vinyl Ketone,287
Total Carbon PM10 STP,286
Aluminum PM10 STP,285
Silver PM10 STP,281
Platinum (TSP) STP,280
Tin PM10 STP,279
Xylene(s),264
Size fractionated particulate,257
Vanadium PM10 LC,245
Visibility,245
Rain 24hr total,242
Nitrate (precip),239
Sodium (TSP) STP,237
Lanthanum (TSP) STP,236
Total Carbon PM2.5 LC TOT,233
Sulfate (precip),232
Ammonium (precip),231
Chlorine PM10 STP,225
Titanium PM10 STP,225
Bromide PM10 STP,225
Potassium PM10 LC,224
Strontium PM10 STP,224
Rubidium PM10 STP,222
Yttrium PM10 STP,221
Zirconium PM10 STP,219
Germanium (TSP) STP,219
Titanium PM10-2.5 STP,218
Silicon PM10-2.5 STP,218
Arsenic PM10-2.5 STP,218
Aluminum PM10-2.5 STP,218
Strontium PM10-2.5 STP,218
Mercury (TSP) LC,218
Barium PM10-2.5 STP,218
Phosphorus PM10-2.5 STP,218
Vanadium PM10-2.5 STP,218
Selenium PM10-2.5 STP,218
Zinc PM10-2.5 STP,218
