address,count
4150 AIRPORT HIGHWAY,4434
141 Jonathan Blvd,4433
RIVERSIDE SUBSTATION  911 SISKIN DR,4428
CASSIDY ROAD [Saltech/ Fallaw],4410
Evansville-Buena Vista-1110 W. Buena Vista Rd.,4402
3350 YANKEE ROAD,4396
WATER ST. DOVER,4392
175 BINGHAM ROAD,4380
1200 OXFORD STATE ROAD,4368
Remington Road (see coordinates),4367
PENN STATE UNIVERSITY - ARBORETUM SITE,4356
60TH ST. & 74TH AVE.,4330
9925 International Blvd,4322
Hospital Road at Co. Health Dept.,4318
UNLOADING ZONE FRESHKILLS,4302
1650 1ST STREET,4296
HOPI POINT GRAND CANYON NATIONAL PARK,4275
5625 23rd Ave. S.,4269
WHALEY PK 3610 IOWA (FLINT),4219
"3 W. CARRILLO ST., SANTA BARBARA, CA.",4214
2022 NORTH BEACON/ Fort Wayne- Beacon St.,4211
2165 AIRPORT ROAD SW,4200
"4144 SAN GABRIEL RIVER PKWY, PICO RIVERA",4191
702 Light Co Service Road,4186
"PS 59, 228 E. 57TH STREET, MANHATTAN",4172
LAFAYETTE CINERGY SUBSTATION/ 3401 GREENBUSH ST.,4155
FOOD SCIENCE BUILDING UNIV OF GA.,4104
"1275 Meadow Crest Dr, South Lake Tahoe, CA 96150",4100
"200 S. HATHAWAY ST., BANNING CA",4087
East Tydeman Avenue & South Chaffer Avenue,4083
2100 MADISON AVENUE,4078
5400 N. WASHINGTON ST.,4068
