local_site_name,count
PDO - Portland Deering Oaks,9272
A420770100LAT/LON POINT IS OF SAMPLING INLET,9130
Newark Firehouse,9124
CAPITOL COMMUNITY TECHNICAL COLLEGE,9094
Meridian - St. Luke's,9072
Roosevelt School-Bridgeport,9069
Arlington Municipal Airport,9050
University and Snelling,8972
Mammoth Cave NP - Houchin Meadow,8935
Evansville- Lloyd,8910
El Cajon,8874
TRAILER IN RV PARK (MAYCLIFF RV & STORAGE) (Site closed; new site: JM),8861
BUCKEYE,8845
BUFFALO DOWNTOWN,8835
STOCKER STADIUM,8810
HORICON WILDLIFE AREA,8735
SE OF TOMAS FERNANDEZ & AVENIDA DE LA INDUSTRIA INTERSECTION,8678
UTM POINT = INLET PROBE LOCATION OVER SIDEWALK,8614
BOTANICAL GARDEN,8594
USPHS LAWTON INDIAN HOSPITAL,8543
CANAL STREET,8501
EASTERN BANK OF MONUMENT CREEK DRAINAGE ON COLORADO COLLEGE CAMPUS.,8499
San Andreas-Gold Strike Road,8480
Lancaster-Ponderosa St.,8438
OPEN FIELD NEAR RESIDENTIAL AREA AT 6000 PULPIT ROCK DRIVE.,8423
Lawrenceville,8417
Greeley - West Annex Bldg,8372
Bakersfield-California,8340
Santa Barbara,8315
4102 Woolworth Ave. on Healthcenter Warehouse,8310
SOUTH OF YMCA BUILDING IN PARKING LOT,8302
Carson City-NW Corner of Equipment Yard,8298
NASA Langley Research Center,8297
CHEEKA PEAK,8297
Nederland 17th Street,8288
"AT THE INSTITUTO TECNOLOGICO DE MEXICALI, MEXICALI, BCN",8241
Preble NCore,8241
Ladue,8193
GT Craig NCore,8176
San Diego - Beardsley Street,8164
Mohawk Mt-Cornwall,8154
South Lake Tahoe-Sandy Way,8122
Rockwell,8119
Indpls- Washington Park/  in parking lot next to police station,8116
MID-BLOCK ON SOUTH SIDE OF 10TH AVE S; BETWEEN 7TH & 8TH STREETS,8100
LAT/LON POINT IS TRAILER,8094
MathScience Innovation Center,8075
Harvey's Hotel - Stateline,8045
SOUTH OF CRAWFORD & POLK INTERSECTION,8040
BELLEVUE - 148TH,8031
OKC NORTH,7992
West Beach,7988
Fridley High School,7985
MOOSEHILL SCHOOL,7972
Ogden,7971
HUNTSVILLE OLD AIRPORT,7930
Frayser Ozone Monitor,7913
Jerome Mack-NCore,7903
Anaheim (1010 Harbor Blvd),7856
PARKLANE,7838
MILLER STATE PARK,7823
MARGARETTA CATEGORY B CORE SLAM PM2.5.,7816
NCORE - Sieben Flats,7790
Memphis NCORE site,7772
"CORNER OF PASEO MORELOS S/N & CALLE RIO LERMA, TECATE, BC, MEXICO",7729
Public Health,7726
El Toro,7687
MILWAUKEE UWM-NORTH,7670
Microscale Site,7631
CENTRAL BUSINESS DISTRICT TYPE SITE,7581
STILWELL,7581
EISENHOWER PARK,7561
HOLTSVILLE,7550
LAT/LON IS CENTER OF TRAILER,7500
Santa Barbara-W. Carrillo St.,7486
Cheyenne NCore,7460
"COBACH, CALLE GUADALAJARA JUST SOUTH OF AVENIDA REVOLUCION, MEXICALI",7441
Taft NCore,7440
PEARL ST MUNICIPAL PARKING LOT,7433
MINGO_JCT.,7357
PROCTOR MAPLE RESEARCH CTR,7354
SD School for the Deaf,7342
ELIZA-NR,7286
Davis Island,7278
LOCATED APPROXIMATELY 1 MILE NORTH OF I-5 AND I-80 FREEWAYS,7273
Livermore - Old 1st St.,7234
NEW HAVEN,7208
Lee District Park,7143
NCORE,7125
Fresno - Garland,7102
Camden Spruce Street,7069
SCOTTISH RITE TEMPLE,7048
Davis-UCD Campus,7043
LYNN WATER TREATMENT PLANT,7022
Watson Lane,7009
MCMILLAN  NCore-PAMS,7009
Great Falls Overlook Park,6951
North Birmingham,6933
2ZR SITE MOVED FROM RIO RANCHO CITY HALL TO SENIOR CENTER,6896
La Casa,6890
Chico-East Avenue,6860
Salinas-Natividad Rd.,6855
East Vinton Elementary School,6835
TEMPE,6832
Long Beach (Hudson),6831
Livermore,6828
Bakersfield-Muni,6825
PARKING LOT OF FIRE STATION NUMBER 10 AT 3730 MEADOWLAND BLVD.,6657
NW OF BORDER HWY IN ASCARATE PARK,6642
I-25,6638
West Yellowstone Park Ent,6624
Science Museum of Minnesota,6611
Oceanside-Mission Ave,6570
NORTHWEST,6558
Forest Park,6552
TAHLEQUAH SHELTER,6532
Near Road I-35/I-94,6530
BOULDER - CU-ATHENS,6516
(Northeast corner),6488
MARK TWAIN MIDDLE SCHOOL,6475
STATE HOSPITAL,6456
Kearny Mesa,6450
West corner,6449
ROUND HILL MONTESSORI SCHOOL,6438
Old South Phoenix Site,6428
Park Place,6427
NORTH OF BRYAN & ERVAY STREETS INTERSECTION,6424
BUTTE STORM SEWER ACROSS STR(E) FROM DEWEY ON HARRISON AVE,6386
ECOLOGY SITE,6353
Ojo De Agua,6316
Jackson NCORE,6295
FORMERLY 5962 SOUTH LINDBERGH.,6290
"Blue Ridge, I-70",6283
Mammoth,6275
WARDLAW School,6270
Yellowstone National Park - Old Faithful Snow Lodge,6240
Huntley Place-Hartford,6164
A420110009LAT/LONG POINT IS OF SAMPLING INLET,6147
Smoky Row Near Road,6131
THE SITE IS ON A GRASS COVERED OPEN AREA OF THE PLANT CITY HIGH SCHO,6040
Bryan Park,6013
GOLF LINKS,6013
Sebastopol,5989
PLAZA CO MONITORING SITE FORMERLY BENDIX.,5983
Laney College,5963
FARGO NW,5942
Sacramento-Goldenland Ct.,5918
NR-GA Tech,5881
MILWAUKEE - COLLEGE AVE. NR,5835
Hesperia-Olive Street,5821
HIGHLAND RESERVOIR,5813
LAT/LONG POINT IS OF SAMPLING INLET.................................,5808
RESIDENTIAL AREA,5770
Torresdale Station,5755
A420110100LAT/LON POINT IS AT CORNER OF TRAILER,5746
UNITARIAN CHURCH,5728
Howard County Near Road,5725
North East Waste (NEW),5717
Cincinnati Near Road,5715
CANNONS LANE,5647
Anoka County Airport,5637
FORMERLY WAS 800 SOUTH BROADWAY (CARNIVAL -NAMS SITE),5610
Durrett Lane (Near Road),5589
MINE CREEK,5582
Buffalo Near-Road,5570
WESTOVER AFB,5556
Fort Lee Near Road,5555
Near Rd,5529
San Jose - Knox Avenue,5527
Pepsi Place,5527
Parkway East Near-Road,5521
DYSART,5502
ORR,5486
BLOOMINGDALES DEPT STORE,5473
Socorro Hueco,5437
Near Road Site at Southwest Tennessee Community College,5395
CAPE ROMAIN,5373
A420490101LAT/LON POINT=CENTER OF TRAILER,5359
Richmond-13th St.,5351
Cleveland Near Road,5339
Rochester Near-Road,5327
Chico-Salem St.,5322
Humboldt Hill,5289
MAXIMUM CONCENTRATION SITE FROM PREVIOUS SATURATION STUDY.,5286
Pittsboro Elementary School,5269
 LAZARUS CO SITE,5256
I-610,5222
MOUNT-OLIVE,5211
Sacramento-Earhart Dr.,5201
Indpls.- I 70,5199
Eliza Downwind,5173
2850 E. Charleston,5172
LOCATED AT WEST EMD PF SCHOOL PROPERTY,5125
"MONITOR AT NAMPA PUBLIC LIBRARY,  MAX CONCENTRATION, CANYON SITE",5085
Fort Worth California Parkway North,5084
Greeley - Weld County Tower,5082
Reading Airport,5067
Ontario Near Road (Etiwanda),5051
"IN FLAMINGO WASH CORRIDOR - ""FLAMINGO SITE""",5020
Tualatin Bradbury Court (TBC) - Near Road Site,4993
Near Road I-35,4986
Seattle-10th & Weller,4975
ROCKPIKE LAT/LONG POINT IS OF SAMPLING INLET,4965
Across from Crabtree Valley Mall (US70W & NC50N),4960
Houston North Loop,4947
Beaumont Downtown,4933
Arkadelphia/Near Road,4922
Anaheim Near-Road,4918
San Diego -Rancho Carmel Drive,4878
TUFF SHED ON BOULDER HIGHWAY IN HENDERSON,4853
SW OF PILGRIM & PANDA INTERSECTION,4813
MILWAUKEE - SER DNR HDQRS,4795
A420950017LAT/LONG POINT IS OF SAMPLING INLET,4790
ISWS CLIMATE STATION,4769
NE OF N. PECAN ST. & E. WEATHERFORD ST. INTERSECTION,4718
VON HILLERN ST,4691
NW OF COLORADO & W. CESAR CHAVEZ STREETS INTERSECTION,4689
ST LUKES,4660
BLGS BRIDAL SHOP LOW POINT IN TOPOGRAPHY OF URBAN BILLINGS,4656
NE OF AVE. DE LA INDUSTRIA & TOMAS FERNANDEZ INTERSECTION,4654
SITE IS LOCATED IN A FIELD JUST SW OF INTERSTATE 25,4651
"CARBON MONOXIDE, TECO, JOHNSTON FIRESTATION",4643
Daniela Banu NCORE,4641
75 KM SSW OF PITTSBURGH RURAL SITE ON A KNOLL WITHIN A LARGE CLEARIN,4619
WEST OF HIGHWAY 85/87 ON THE PINELLO RANCH PROPERTY.,4615
Green Valley,4608
Kalispell Flathead Electric,4602
#14 FIRE STATION- REYNOLDS RD.,4535
Phelan-Beekley Road & Phelan Road,4503
