local_site_name,count
Piney Run,10045
Whiting- Whiting HS,10010
LOCATED ABOUT 1/4 MILE WEST OF SITE,9959
Shreveport / Airport,9862
Donovan,9842
Greenville,9757
LATOURETTE GOLF COURSE,9747
Platteville - Middle School,9697
Modesto-14th Street,9528
Wylam,9505
Redwood City,9380
San Rafael,9345
A421330008LAT/LON POINT AT CORNER OF TRAILER,9336
Lebec,9335
ARMY RESERVE CENTER ROOF- CORE MONITORING SITE,9312
BLOODWORTH,9311
Daniela Banu NCORE,9306
CHARLESTON BAPTIST TEMPLE/SITE MOVED FROM OAQ AND FIRE STATION,9254
Minneapolis Central Library,9239
Macon-Forestry,9194
Coconut Creek,9176
Blackstone,9147
Kaufman,8997
Thunder Basin,8990
Tallahassee Community College,8981
Dawsonville,8941
DIVISION STREET,8934
Ramsey Health Center,8860
Ft. Cronkhite,8785
Lynchburg Ferry,8679
GREENVILLE HEALTH DEPT,8642
A420450109LAT/LON POINT IS OF CORNER OF TRAILER,8578
OKC WEST-(YUKON),8575
Jefferson County Airport,8558
Lebec-Peace Valley/Frazier Park Roads,8525
Flint Hills Refinery 443,8522
Pearl City,8507
Flint Hills Refinery 441,8459
Penobscot,8455
St. Louis Park City Hall,8431
Convention Center,8430
Edinburg,8347
Napa,8261
East Chicago-Marina,8184
Sacramento-1309 T Street,8171
RIVERSIDE,8155
CANNONS LANE,8153
NE OF 17TH STREET N & 5TH AVE N INTERSECTION,8115
LAT/LON POINT IS CENTER OF TRAILER,8100
NEAR HILLTOP WATERTOWER,8100
Bonne Terre,7970
Sierra Ancha,7880
El Dorado Springs,7830
Haleakala Crater,7830
CETL - Cape Elizabeth Two Lights (State Park),7764
Newark Firehouse,7672
NORTHWEST,7662
"1277 PUTNEY ROAD, RTE 5 IN AGWAY  PARKING LOT",7639
MOOSEHILL SCHOOL,7596
Waseca Road,7594
Blue Mounds,7580
Richmond - 7th St.,7525
ALBANY COUNTY HEALTH DEPT,7520
PERKINSTOWN,7516
Chico-East Avenue,7490
West Orange,7490
Visalia-Church,7489
Jerome Mack-NCore,7485
Manchester/Central,7476
CARROLL STREET PARK,7442
(Northeast corner),7395
Preble NCore,7394
Cesar Chavez,7392
IEPA-RAPS TRAILER,7390
Arnold West,7386
CITY OFFICE BUILDING,7385
KENDUSKEAG PUMP STATION (BUILDING ROOF),7382
AIR PRODUCTS,7375
Calvert City Elementary,7363
El Cajon - Lexington Elementary School,7351
Alsup Elementry School - Commerce City,7344
NCORE - Sieben Flats,7316
West corner,7302
Kapolei,7300
Bethel Island,7264
Conroe Relocated,7258
Lindon,7254
MARK TWAIN MIDDLE SCHOOL,7245
Memphis NCORE site,7222
SAMPLERS ARE ON THE ROOF ON THE WEST SIDE OF THE SCHOOL,7201
San Antonio Seale,7101
Cheyenne NCore,7016
BOY'S  CLUB,7005
Mechanicsburg- Shenandoah HS/ behind the football field,6988
San Diego - Beardsley Street,6980
SPRINGFIELD PUMP STATION,6966
Macon-Alllied,6942
Indpls-  School 21/ Florence Fay School 21,6927
Terre Haute-Fort Harrison Rd.,6915
Boulder Lake,6900
Breton Island,6845
CHARLESTON PUBLIC WORKS,6840
WASH & SKINNER,6807
WATER PLANT,6768
NORTH OF EASTERDAY AVE LK SUPERIOR STATE UNIV,6764
Carthage,6758
DOUGLAS RED CROSS,6745
FT MEADE LAT/LONG POINT IS OF THE SAMPLING INLET,6726
WHITEWAY DRIVE TAMPA,6712
Santa Rosa - 5th St,6689
STATE OFFICE BUILDING,6678
CHESTER COUNTY TRANSPORT SITE INTO PHILADELPHIA,6650
BISMARCK RESIDENTIAL,6648
WASHINGTON HS,6588
Public Health,6584
Jacinto Port,6538
HYDRAULIC,6512
Augusta,6510
STILWELL,6495
East Liverpool WTP,6485
Howard County Near Road,6480
Spring Hill Elementary School,6480
TACOMA - L STREET,6467
Columbus-Cusseta,6450
PORTSMOUTH - PEIRCE ISLAND,6445
CHANUTE,6444
13TH & ST PAUL,6430
NORTHWEST NAZARENE COLLEGE SAMPLER ON ARTS BUILDING IN SUB. SETTING,6402
PAWNEE & GLENN,6401
Yellow Freight,6395
S. Pearl Street,6380
Crockett - Kendall Ave,6380
Old Hwy 90,6370
Five Points,6358
GOODLAND,6343
Fairgrounds,6269
Barr School,6244
Johnson County Luisa,6230
MAYFAIR PUMP STATION,6124
FMC-Fairfield,6110
420 KANSAS,6096
CERMAK PUMP STATION,6082
Oakland West,6052
Jasper PO,6038
Pride,6028
Fontana,6025
Minneapolis Fire Station 2,6011
Lockeland,5918
GLEN BURNIE,5877
Martinez - Jones St.,5842
VILLAGE GARAGE,5831
SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING,5784
CHEEKA PEAK,5755
Westlake,5747
La Casa,5704
Virginia City Hall,5699
HAZARD,5671
SOUTH OF NEFF & NAVIGATION INTERSECTION,5667
Ben Franklin School,5625
"SC DEP'T. PROBATION, PAROLE, & PARDONS",5604
Flat Tops,5555
Jackson NCORE,5546
"OLD DOVER HIGHWAY CADIZ,KY",5540
San Pablo,5532
Anaheim,5490
Putnam Elementary School,5486
WICHITA HD,5482
Kibby,5460
JENKINS AVE. FIRE STATION,5429
SEATTLE - DUWAMISH,5419
Gopher Resources,5409
Medford - Grant & Belmont Sts. (MGB),5403
Lyebrook,5395
Indpls.- I 70,5385
Clovis-Villa,5362
Otay Mesa,5343
MSLA Health Dept,5322
"1270 RANDOLPH, GRAND RAPIDS",5304
Rossville,5304
Canton Fire St8,5300
NCORE,5296
Loudon Pope site,5294
Whiting- Center St.,5280
Gainesville,5217
DENVER - CAMP,5215
Lums Pond,5182
COLLEGE POINT POST OFFICE,5132
DODGE CITY,5041
Galveston 99th Street,5040
Odessa Gonzales,5025
Packard Court Community Center,5024
NORTH OF TOWER RD. & WATERWORKS RD. INTERSECTION,4975
Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park),4967
CITY HALL,4956
HOLTSVILLE,4951
Bayou Plaquemine,4822
San Leandro,4808
Dutchtown,4782
YAKIMA - 4TH AVE,4774
ATMOS ENERGY,4732
Evansburg UM,4710
Santa Clarita,4704
La Grande Hall and N St. (LHN),4702
East 7 Mile,4689
Butte Greeley School,4626
WAUKESHA - CLEVELAND AVE,4620
Lincoln Park Elementary,4617
White Mountain Research Center - Owens Valley Lab,4610
PEARL ST MUNICIPAL PARKING LOT,4587
Rome,4560
Maple Canyon,4518
ADDYSTON,4510
A420430401LAT/LON POINT IS AT CORNER OF TRAILER,4506
Richmond-13th St.,4501
BATES HOUSE,4494
Headstart,4470
"MOMS, ADEM",4470
Upland,4462
NEWKIRK IMPROVE,4455
Lawrence Co ozone monitor,4452
TUPELO AIRPORT NEAR OLD NWS OFFICE,4448
"TOWNER ST, SOUTH; 2 LANE RESIDENIAL - HOSPITAL",4441
A420692006LAT/LON POINT IS AT CORNER OF TRAILER,4434
RAPS,4434
Chaska,4433
Siskin Drive,4428
SALTECH (FALLAW),4410
Evansville- Buena Vista,4402
Yankee,4396
PLATFORM IN FIELD BEHIND DELAWARE FED. CREDIT UNION BLDG,4392
Board Of Ed. Bldg.,4380
Amanda Elem,4368
McAuliffe Park,4367
LAT/LON=POINT SW CORNER OF TRAILER,4356
GRAVES ES,4330
Oakland,4322
Pascagoula,4318
UNLOADING ZONE FRESHKILLLS LANDFILL,4302
Hickory Water Tower,4296
Wenonah Elementary School,4269
WHALEY PK 3610 IOWA (FLINT),4219
Santa Barbara-W. Carrillo St.,4214
Ft. Wayne- Beacon St.,4211
HUNTSVILLE OLD AIRPORT,4200
Pico Rivera #2,4191
Pasadena North,4186
PS 59,4172
Lafayette- Greenbush St./ Cinergy Substation,4155
Lake Tahoe Community College,4100
Banning Airport,4087
Phillips 66 Wood River Refinery,4083
Gateway Regional Medical Center,4078
Klamath Falls - Peterson School,4038
Loudon Middle School ozone monitor,4024
POINT=CENTER OF MASS OF MANMADE MATERIALS AT SITE,4024
Hamshire,3988
PHENIX CITY,3984
"DEAN ROAD DEAD-ENDS AT SITE, 200 FT WEST",3918
Rockwell,3911
Lexington water tower,3900
Brookpark,3893
Jefferson- Walnut St/ Jefferson PFAU,3882
WEST OF SHILOH ROAD.,3866
SLCI PM25 SITE LOCATED AT 2ND & MOUND STREET.,3859
Alabama Ave. Station,3858
ROOF TOP OF OLD EAST HELENA VOLUNTEER FIREHALL,3852
"6792 RAISIN CENTER HWY, LENAWEE CO.RD.COMM.OWNER, TECUMSEH",3834
Near Road,3805
CINCINNATI,3794
Kenner,3767
CANAL STREET,3756
Marcellus,3750
RURAL ZONE; NEAR AGRICULTURAL AND INDUSTRIAL/PHARMACEUTICAL AREA,3735
GREER,3712
EAST END OF PEDRO MORENO SCHOOL IN ROSARITO,3710
CHASE (COVINGTON),3708
Warner Robins,3694
Gates of the arctic,3690
GEORGETOWN CMS,3687
Valdosta,3681
BEULAH NORTH,3676
ROCK HILL Water Treatment PLANT,3621
Near Road I-35/I-94,3609
MILWAUKEE UWM-NORTH,3567
TACOMA - ALEXANDER AVE,3562
IRMO,3542
Mehoopany,3540
DHEC,3535
MARYVILLE,3522
Seattle-10th & Weller,3507
Indpls- Harding St.,3491
VERITY,3463
MYRTLE BEACH,3459
QUEENSBORO COMMUNITY COLLEGE,3459
"AT UABC, CORNER OF CALZADA BENITO JUAREZ & AVENIDA NORMAL, MEXICALI",3456
UTM COORDINATES = PROBE LOCATION,3440
"GLOBEVILLE, CLINICARE",3430
GARDEN/TRINITY CHRISTIAN CHURCH,3428
Modesto-Courthouse,3413
GREEN BAY EAST HIGH,3402
HAMPTON I,3391
Beaumont Mary,3388
PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS,3372
Cupertino Monta Vista,3368
Portola-161 Nevada Street,3360
BASKETT,3342
"STENNIS, MS",3322
Piedmont,3303
Seaford Shipley State Service Center,3301
Slippery Rock,3294
ALLENDALE SUBDIVISION,3282
POINT=CENTER OF MASS OF MAN-MADE MATERIALS AT SITE,3279
FIRESTATION #1,3276
Mary Snow School,3262
Corpus Christi Palm,3249
DALTON,3237
MADISON EAST,3234
WSDOT FACILITY 6431 CORSON AVE S (GEORGETOWN) SEATTLE,3198
Metropolitan Airports Commission,3181
"Medford, Welch and Jackson.",3171
TVA Fly ash spill site,3148
NAVAL BASE # 2,3139
