date_of_last_change,count
2018-05-07,622
2020-03-12,616
2022-02-21,610
2014-04-08,610
2017-06-09,610
2014-04-18,608
2019-11-19,608
2018-04-16,608
2021-11-05,608
2020-03-18,608
2018-09-25,608
2014-12-23,608
2015-03-13,605
2013-10-01,604
2016-03-22,602
2016-12-13,602
2021-03-18,602
2016-12-06,600
2015-11-17,592
2023-05-08,592
2017-05-03,586
2015-12-22,580
2017-05-25,574
2018-09-24,572
2017-05-09,551
2013-06-20,548
2014-05-07,548
2020-12-22,548
2014-12-22,546
2017-03-20,546
2014-12-18,546
2013-12-12,546
2014-10-08,546
2017-10-11,546
2014-11-24,546
2016-09-08,540
2023-04-14,540
2014-07-25,540
2020-01-12,538
2015-02-05,536
2023-05-04,535
2023-04-11,534
2013-12-18,534
2021-11-19,532
2017-01-17,530
2019-10-14,528
2013-12-11,526
2014-07-21,526
2019-01-31,522
2022-04-04,518
2016-10-11,508
2022-05-09,496
2014-10-21,491
2016-11-04,486
2016-05-16,480
2019-06-28,478
2013-12-13,476
2021-12-06,470
2019-03-25,468
2022-04-14,466
2015-09-29,462
2019-12-04,462
2019-12-11,460
2013-07-05,459
2015-12-09,448
2021-04-30,448
2015-07-14,434
2015-10-29,432
2021-10-14,428
2022-04-11,428
2018-12-27,424
2016-12-08,424
2018-06-27,424
2014-04-14,424
2015-08-04,422
2017-07-25,422
2016-01-18,420
2016-10-06,418
2021-10-29,418
2015-09-11,416
2020-03-03,414
2021-11-02,406
2020-01-06,398
2017-12-12,388
2016-04-18,387
2015-11-10,381
2015-12-28,376
2019-11-21,374
2019-08-22,368
2014-10-20,368
2017-04-11,366
2016-09-21,366
2021-08-23,366
2017-06-29,366
2021-01-05,365
2022-02-05,365
2019-01-30,365
2018-01-30,365
2014-07-23,365
2020-12-07,365
2016-02-16,365
2018-03-15,365
2018-02-22,365
2013-07-04,364
2017-08-14,364
2022-02-02,364
2020-12-04,364
2018-04-24,364
2020-04-06,364
2021-01-09,363
2017-04-28,363
2013-07-24,363
2021-01-10,363
2021-10-13,362
2014-01-20,362
2014-01-30,362
2015-08-26,362
2017-08-08,362
2018-01-17,362
2019-09-26,362
2021-10-27,362
2021-11-24,362
2021-02-08,361
2015-04-24,361
2014-03-20,361
2019-02-27,360
2014-09-15,360
2016-07-27,360
2018-08-27,360
2013-06-27,358
2015-12-14,358
2019-10-22,356
2019-04-13,354
2020-09-01,350
